"","Party","Year","Percent"
"151","Green",1987,0.00275905924112391
"152","Independent.Labour",1987,0.000804665411692751
"153","Ulster.Popular.Unionist",1987,0.000566241476290513
"154","Speaker",1987,0.000743553139441636
"155","Oth",1987,0.00169140817092598
"156","Labour",1983,0.276120781951206
"157","Alliance..Lib.",1983,0.138860489473407
"158","Conservative",1983,0.423837769723067
"159","Plaid.Cymru",1983,0.00407045574588613
"160","Alliance..SDP.",1983,0.114598310864666
"161","SNP",1983,0.0107285385094112
"162","Ecology",1983,0.00174067929222292
"163","Ind",1983,0.000996943717240686
"164","Official.Unionist.Party",1983,0.00852329011434873
"165","Ulster.Popular.Unionist",1983,0.000747397203379003
"166","Democratic.Unionist.Party",1983,0.00499383996408466
"167","Alliance",1983,0.00170854196441917
"168","SDLP",1983,0.00447934848122847
"169","Sinn.Fein",1983,0.0033576151605016
"170","National.Front",1983,0.000884446723372213
"171","Ind.Labour",1983,0.000537703591442827
"172","Speaker",1983,0.000728794823399009
"173","Oth",1983,0.00308505269671739
"174","Labour",1979,0.368438689914554
"175","Conservative",1979,0.438694237913305
"176","Liberal",1979,0.138059142849521
"177","Plaid.Cymru",1979,0.00424150361437634
"178","Communist",1979,0.000511053084157966
"179","SNP",1979,0.0161488355160053
"180","National.Front",1979,0.00639559332484866
"181","Ecology",1979,0.00127836928270571
"182","Democratic.Unionist",1979,0.00227296607645768
"183","Official.Unionist",1979,0.00815283068421899
"184","Alliance",1979,0.00265460660809764
"185","SDLP",1979,0.00438772923051027
"186","Irish.Independence",1979,0.000739326450737612
"187","Ind.Labour",1979,0.000588841525154313
"188","Ind.",1979,0.00102630142799914
"189","Speaker",1979,0.000865792714012446
"190","Ulster.Unionist",1979,0.00118456840017039
"191","United.Ulster.Unionist",1979,0.00127638373995488
"192","Oth",1979,0.00308322764321296
