"Alliance","Conservative","Democratic.Unionist","Green","National.Democratic.Resistance","Natural.Law","Progressive.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Constituency","CV","FPTP","British.National","Labour","Liberal","Liberal.Democrat","People.s.Labour","Plaid.Cymru","Referendum","Scottish.National","Scottish.Socialist.Alliance","Socialist","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind127","Ind138"
0,0,0,0,0,0,0,0,0,0,0,"Guildford","Liberal.Democrat","Conservative",0,0,0,56664,0,0,0,0,0,0,0,0,0,0,0
0,0,0,31838,0,0,0,0,0,0,0,"Hackney North and Stoke Newington","Green","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hackney South and Shoreditch","Referendum","Labour",0,0,0,0,0,0,30889,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Halesowen and Rowley Regis","Labour","Labour",0,48761,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Halifax","Labour","Labour",0,50556,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49550.0000000001,0,0,0,0,0,0,0,0,0,"Haltemprice and Howden","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Halton","Labour","Labour",0,44243,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hamilton South","Labour","Labour",0,33091.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hamilton North and Bellshill","Labour","Labour",0,37999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,53256.9999999999,0,0,0,0,0,0,0,0,0,"Hammersmith and Fulham","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,58127.9999999999,0,0,0,0,0,0,0,0,0,"Hampshire East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48710.9999999999,0,0,0,0,0,0,0,0,0,"Hampshire North East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54211,0,0,0,0,0,0,0,0,0,"Hampshire North West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Hampstead and Highgate","Labour","Labour",0,43683.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Harborough","Liberal.Democrat","Conservative",0,0,0,53007,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Harlow","Labour","Labour",0,47812,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Harrogate and Knaresborough","Liberal.Democrat","Liberal.Democrat",0,0,0,47030.9999999999,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Harrow East","Labour","Labour",0,56980.9999999997,0,0,0,0,0,0,0,0,0,0,0,0,0
