"Alliance","Conservative","Democratic.Unionist","Green","National.Democratic.Resistance","Natural.Law","Progressive.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Constituency","CV","FPTP","British.National","Labour","Liberal","Liberal.Democrat","People.s.Labour","Plaid.Cymru","Referendum","Scottish.National","Scottish.Socialist.Alliance","Socialist","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind127","Ind138"
0,0,0,0,0,0,0,0,0,0,0,"Caernarfon","Plaid.Cymru","Plaid.Cymru",0,0,0,0,0,100.000000000005,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Caerphilly","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Caithness, Sutherland and Easter Ross","Liberal.Democrat","Liberal.Democrat",0,0,0,100.000000000009,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999958,0,0,0,0,0,0,0,0,0,"Calder Valley","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Camberwell and Peckham","Labour","Labour",0,99.9999999999929,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cambridge","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Cambridgeshire North East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100.000000000005,0,0,0,0,0,0,0,0,0,"Cambridgeshire North West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999958,0,0,0,0,0,0,0,0,0,"Cambridgeshire South","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,99.9999999999961,0,0,0,0,0,0,0,0,0,"Cambridgeshire South East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cannock Chase","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Canterbury","Liberal.Democrat","Conservative",0,0,0,100.00000000001,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cardiff Central","Liberal.Democrat","Labour",0,0,0,100.000000000009,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cardiff North","Labour","Labour",0,99.999999999993,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cardiff South and Penarth","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Cardiff West","Labour","Labour",0,99.9999999999931,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Carlisle","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Carmarthen East and Dinefwr","Referendum","Labour",0,0,0,0,0,25.3113639704464,74.6886360295568,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Carmarthen West and Pembrokeshire South","Referendum","Labour",0,0,0,0,0,0,99.9999999999984,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Carrick, Cumnock and Doon Valley","Labour","Labour",0,100.000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0
