"Alliance","Conservative","Democratic.Unionist","Sinn.Fein","Social.Democratic.and.Labour","Ulster.Unionist","United.Kingdom.Unionist","Ind36","Constituency","CV","FPTP","British.National","Green","Kidderminster.Hospital.and.Health.Concern","Labour","Legalise.Cannabis.Alliance","Liberal","Liberal.Democrat","Monster.Raving.Loony","People.s.Justice","Plaid.Cymru","ProLife.Alliance","Scottish.National","Scottish.Socialist","Socialist.Alliance","Socialist.Labour","The.Speaker","United.Kingdom.Independence","Ind10"
0,0,0,0,0,0,0,0,"Nottingham South","Labour","Labour",0,0,0,36604.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Nuneaton","Labour","Labour",0,0,0,43312.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ochil","Scottish.National","Labour",0,0,0,0,0,0,0,6660.00000000002,0,0,0,28643.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ogmore","Labour","Labour",0,0,0,30353,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42133,0,0,0,0,0,0,"Old Bexley and Sidcup","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Oldham East and Saddleworth","Liberal.Democrat","Labour",0,0,0,0,0,0,45420,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Oldham West and Royton","British.National","Labour",22069,0,0,17893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Orkney and Shetland","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,16733,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Orpington","Liberal.Democrat","Conservative",0,0,0,0,0,0,50912,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Oxford East","Liberal.Democrat","Labour",0,0,0,0,0,0,39771,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Oxford West and Abingdon","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,51143,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Paisley North","Labour","Labour",0,0,0,17700,0,0,0,0,0,0,9453.00000000003,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Paisley South","Labour","Labour",0,0,0,30410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39732.0000000001,0,0,0,0,0,0,"Pendle","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43912,0,0,0,0,0,0,"Penrith and The Border","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Perth","Scottish.National","Scottish.National",0,0,0,0,0,0,0,0,0,0,0,37816.0000000001,0,0,0,0,0,0
0,39811.9999999999,0,0,0,0,0,0,"Peterborough","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Plymouth Devonport","Labour","Labour",0,0,0,41719.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Plymouth Sutton","Labour","Labour",0,0,0,39072.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Pontefract and Castleford","Labour","Labour",0,0,0,31391.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Pontypridd","Labour","Labour",0,0,0,38309,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39233,0,0,0,0,0,0,"Poole","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Poplar and Canning Town","Labour","Labour",0,0,0,34108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Portsmouth North","Labour","Labour",0,0,0,36572,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Portsmouth South","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,39215.0000000001,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Preseli Pembrokeshire","United.Kingdom.Independence","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36777,0
0,0,0,0,0,0,0,0,"Preston","Labour","Labour",0,0,0,34576.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Pudsey","Labour","Labour",0,0,0,45175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,34262,0,0,0,0,0,0,"Putney","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42773.0000000001,0,0,0,0,0,0,"Rayleigh","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Reading East","Liberal.Democrat","Labour",0,0,0,0,0,0,43524.0000000001,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Reading West","Labour","Labour",0,0,0,41986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Redcar","Labour","Labour",0,0,0,38198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37032.0000000001,0,0,0,0,0,0,"Redditch","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Regent's Park and Kensington North","Labour","Labour",0,0,0,36978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39116.9999999999,0,0,0,0,0,0,"Reigate","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Renfrewshire West","Labour","Labour",0,0,0,33497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Rhondda","Labour","Labour",0,0,0,33495,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49171,0,0,0,0,0,0,"Ribble Valley","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,44033.9999999999,0,0,0,0,0,0,"Richmond (Yorkshire)","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Richmond Park","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,49036,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Rochdale","Liberal.Democrat","Labour",0,0,0,0,0,0,39159,0,0,0,0,0,0,0,0,0,0,0
0,37452,0,0,0,0,0,0,"Rochford and Southend East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35701.0000000001,0,0,0,0,0,0,"Romford","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Romsey","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,48459.0000000001,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ross, Skye and Inverness West","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,34547,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Rossendale and Darwen","Labour","Labour",0,0,0,41358,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Rother Valley","Labour","Labour",0,0,0,36803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Rotherham","Labour","Labour",0,0,0,29217,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Roxburgh and Berwickshire","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,28797,0,0,0,0,0,0,0,0,0,0,0
0,53796,0,0,0,0,0,0,"Rugby and Kenilworth","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37140.9999999999,0,0,0,0,0,0,"Ruislip-Northwood","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42426,0,0,0,0,0,0,"Runnymede and Weybridge","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54446.0000000001,0,0,0,0,0,0,"Rushcliffe","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47055.9999999999,0,0,0,0,0,0,"Rutland and Melton","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ryedale","Liberal.Democrat","Conservative",0,0,0,0,0,0,43899,0,0,0,0,0,0,0,0,0,0,0
0,50040.0000000001,0,0,0,0,0,0,"Saffron Walden","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Salford","Socialist.Alliance","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,22146,0,0,0,0
0,52603.0000000001,0,0,0,0,0,0,"Salisbury","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47523.0000000001,0,0,0,0,0,0,"Scarborough and Whitby","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Scunthorpe","Labour","Labour",0,0,0,33323,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sedgefield","Labour","Labour",0,0,0,39623.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50272,0,0,0,0,0,0,"Selby","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42319,0,0,0,0,0,0,"Sevenoaks","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sheffield Attercliffe","Labour","Labour",0,0,0,35824,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sheffield Brightside","Labour","Labour",0,0,0,25552.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sheffield Central","Labour","Labour",0,0,0,30007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sheffield Hallam","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,38246,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sheffield Heeley","Labour","Labour",0,0,0,34139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sheffield Hillsborough","Labour","Labour",0,0,0,42536.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sherwood","Labour","Labour",0,0,0,45899.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46020,0,0,0,0,0,0,"Shipley","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49650.9999999999,0,0,0,0,0,0,"Shrewsbury and Atcham","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46130.9999999999,0,0,0,0,0,0,"Shropshire North","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37184.9999999999,0,0,0,0,0,0,"Sittingbourne and Sheppey","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,49125.9999999998,0,0,0,0,0,0,"Skipton and Ripon","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48719,0,0,0,0,0,0,"Sleaford and North Hykeham","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Slough","Labour","Labour",0,0,0,37774.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,48271,0,0,0,0,0,0,"Solihull","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Somerton and Frome","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,52684,0,0,0,0,0,0,0,0,0,0,0
0,46202,0,0,0,0,0,0,"South Holland and the Deepings","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,46130,0,0,0,0,0,0,"South Ribble","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"South Shields","Labour","Labour",0,0,0,30185.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Southampton Itchen","Labour","Labour",0,0,0,41373.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Southampton Test","Labour","Labour",0,0,0,41574.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,37374.9999999999,0,0,0,0,0,0,"Southend West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Southport","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,41153.0000000001,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Southwark North and Bermondsey","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,36173,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sparkbrook and Small Heath","Labour","Labour",0,0,0,28141,0,0,0,0,7442.99999999999,0,0,0,0,0,0,0,0,0
0,41794.0000000001,0,0,0,0,0,0,"Spelthorne","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43761.0000000002,0,0,0,0,0,0,"St. Albans","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"St. Helens North","Labour","Labour",0,0,0,37600.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"St. Helens South","Liberal.Democrat","Labour",0,0,0,0,0,0,33453.0000000001,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"St. Ives","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,49266.0000000001,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stafford","Labour","Labour",0,0,0,44058,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Staffordshire Moorlands","Labour","Labour",0,0,0,42658.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42180,0,0,0,0,0,0,"Staffordshire South","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stalybridge and Hyde","Labour","Labour",0,0,0,32046,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stevenage","Labour","Labour",0,0,0,42133.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stirling","Green","Labour",0,35930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stockport","Labour","Labour",0,0,0,35383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stockton North","Labour","Labour",0,0,0,35427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stockton South","Labour","Labour",0,0,0,44209.0000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stoke-on-Trent Central","Labour","Labour",0,0,0,26643.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stoke-on-Trent North","Labour","Labour",0,0,0,26716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stoke-on-Trent South","Labour","Labour",0,0,0,34325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45642,0,0,0,0,0,0,"Stone","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39924.0000000001,0,0,0,0,0,0,"Stourbridge","Conservative","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,54914.0000000002,0,0,0,0,0,0,"Stratford-on-Avon","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Strathkelvin and Bearsden","Labour","Labour",0,0,0,41486.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Streatham","Labour","Labour",0,0,0,36998,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stretford and Urmston","Labour","Labour",0,0,0,38260.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Stroud","Labour","Labour",0,0,0,55174.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47103.9999999999,0,0,0,0,0,0,"Suffolk Central and North Ipswich","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,50407,0,0,0,0,0,0,"Suffolk Coastal","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45293,0,0,0,0,0,0,"Suffolk South","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,42444.9999999999,0,0,0,0,0,0,"Suffolk West","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sunderland North","Labour","Labour",0,0,0,28302.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sunderland South","Labour","Labour",0,0,0,31187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,47049,0,0,0,0,0,0,"Surrey East","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,45101.9999999999,0,0,0,0,0,0,"Surrey Heath","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Surrey South West","Liberal.Democrat","Conservative",0,0,0,0,0,0,49591.9999999999,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sussex Mid","Liberal.Democrat","Conservative",0,0,0,0,0,0,45822,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Sutton and Cheam","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,39723,0,0,0,0,0,0,0,0,0,0,0
0,43168,0,0,0,0,0,0,"Sutton Coldfield","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Swansea East","Labour","Labour",0,0,0,30072,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Swansea West","United.Kingdom.Independence","Labour",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32100,0
0,0,0,0,0,0,0,0,"Swindon North","Labour","Labour",0,0,0,42328.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Swindon South","Labour","Labour",0,0,0,43057.0000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Tamworth","Labour","Labour",0,0,0,40249.9999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,39563,0,0,0,0,0,0,"Tatton","Conservative","Conservative",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Taunton","Liberal.Democrat","Conservative",0,0,0,0,0,0,55225,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Tayside North","Scottish.National","Scottish.National",0,0,0,0,0,0,0,0,0,0,0,38297.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Teignbridge","Liberal.Democrat","Liberal.Democrat",0,0,0,0,0,0,59310,0,0,0,0,0,0,0,0,0,0,0
