"UK.Independence.Party","Conservative","Green","Democratic.Unionist.Party","Alliance","Sinn.Fein","Social.Democratic.and.Labour.Party","Ulster.Unionist.Party","Cannabis.is.Safer.than.Alcohol.Party","Traditional.Unionist.Voice","Ind86","Constituency","CV","FPTP","Labour","Plaid.Cymru","Liberal.Democrat","Trade.Unionist.and.Socialist.Coalition","Scottish.National.Party","National.Health.Action.Party","Respect","Speaker","Ind38"
43027.9999999999,0,0,0,0,0,0,0,0,0,0,"Basildon and Billericay","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,52683.9999999999,0,0,0,0,0,0,0,0,0,"Basingstoke","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bassetlaw","Labour","Labour",49288.9999999998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bath","Liberal.Democrat","Conservative",0,0,46605.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Batley and Spen","Labour","Labour",50425.9999999999,0,0,0,0,0,0,0,0
0,51030.9999999999,0,0,0,0,0,0,0,0,0,"Battersea","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,53163,0,0,0,0,0,0,0,0,0,"Beaconsfield","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,48803,0,0,0,0,0,0,0,0,0,"Beckenham","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bedford","Labour","Conservative",45957.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bermondsey and Old Southwark","Liberal.Democrat","Labour",0,0,51130.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Berwickshire, Roxburgh and Selkirk","Liberal.Democrat","Scottish.National.Party",0,0,54903.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Berwick-upon-Tweed","Liberal.Democrat","Conservative",0,0,40335,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bethnal Green and Bow","Labour","Labour",51280.0000000001,0,0,0,0,0,0,0,0
0,52018.9999999999,0,0,0,0,0,0,0,0,0,"Beverley and Holderness","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,55217.9999999999,0,0,0,0,0,0,0,0,0,"Bexhill and Battle","Conservative","Conservative",0,0,0,0,0,0,0,0,0
43533.9999999999,0,0,0,0,0,0,0,0,0,0,"Bexleyheath and Crayford","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birkenhead","Labour","Labour",39144,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham, Edgbaston","Labour","Labour",41039.0000000001,0,0,0,0,0,0,0,0
34684,0,0,0,0,0,0,0,0,0,0,"Birmingham, Erdington","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham, Hall Green","Labour","Labour",47045.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham, Hodge Hill","Labour","Labour",40886,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham, Ladywood","Labour","Labour",35700,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham, Northfield","Labour","Labour",42461,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham, Perry Barr","Labour","Labour",41260,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham, Selly Oak","Labour","Labour",45294,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Birmingham, Yardley","Liberal.Democrat","Labour",0,0,41080,0,0,0,0,0,0
39389,0,0,0,0,0,0,0,0,0,0,"Bishop Auckland","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Blackburn","Labour","Labour",43998.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Blackley and Broughton","Labour","Labour",37112.0000000001,0,0,0,0,0,0,0,0
39335.9999999999,0,0,0,0,0,0,0,0,0,0,"Blackpool North and Cleveleys","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
31708,0,0,0,0,0,0,0,0,0,0,"Blackpool South","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Blaenau Gwent","Labour","Labour",31683,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Blaydon","Labour","Labour",44936,0,0,0,0,0,0,0,0
38460.9999999999,0,0,0,0,0,0,0,0,0,0,"Blyth Valley","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
47116,0,0,0,0,0,0,0,0,0,0,"Bognor Regis and Littlehampton","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bolsover","Labour","Labour",43998,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bolton North East","Labour","Labour",43161.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bolton South East","Labour","Labour",40743,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bolton West","Labour","Conservative",48271.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bootle","Labour","Labour",45152,0,0,0,0,0,0,0,0
42583.0000000001,0,0,0,0,0,0,0,0,0,0,"Boston and Skegness","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
53581.9999999999,0,0,0,0,0,0,0,0,0,0,"Bosworth","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,43924,0,0,0,0,0,0,0,0,0,"Bournemouth East","Conservative","Conservative",0,0,0,0,0,0,0,0,0
41674,0,0,0,0,0,0,0,0,0,0,"Bournemouth West","UK.Independence.Party","Conservative",0,0,0,0,0,0,0,0,0
0,53086.0000000001,0,0,0,0,0,0,0,0,0,"Bracknell","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bradford East","Labour","Labour",41196.0000000001,0,0,0,0,0,0,0,0
37600.0000000001,0,0,0,0,0,0,0,0,0,0,"Bradford South","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bradford West","Labour","Labour",30103,0,0,0,0,0,9989,0,0
0,49879.9999999999,0,0,0,0,0,0,0,0,0,"Braintree","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Brecon and Radnorshire","Liberal.Democrat","Conservative",0,0,40074,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Brent Central","Labour","Labour",46716.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Brent North","Labour","Labour",52037.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Brentford and Isleworth","Labour","Labour",57355,0,0,0,0,0,0,0,0
0,51724.0000000001,0,0,0,0,0,0,0,0,0,"Brentwood and Ongar","Conservative","Conservative",0,0,0,0,0,0,0,0,0
38517.9999999999,0,0,0,0,0,0,0,0,0,0,"Bridgend","UK.Independence.Party","Labour",0,0,0,0,0,0,0,0,0
0,54447,0,0,0,0,0,0,0,0,0,"Bridgwater and West Somerset","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,43089,0,0,0,0,0,0,0,0,0,"Brigg and Goole","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Brighton, Kemptown","Labour","Conservative",45164,0,0,0,0,0,0,0,0
0,0,54472.0000000001,0,0,0,0,0,0,0,0,"Brighton, Pavilion","Green","Green",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bristol East","Labour","Labour",46212.9999999999,0,0,0,0,0,0,0,0
0,51805,0,0,0,0,0,0,0,0,0,"Bristol North West","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,50842,0,0,0,0,0,0,0,0,"Bristol South","Green","Labour",0,0,0,0,0,0,0,0,0
0,0,63921.9999999999,0,0,0,0,0,0,0,0,"Bristol West","Green","Labour",0,0,0,0,0,0,0,0,0
0,53088.9999999999,0,0,0,0,0,0,0,0,0,"Broadland","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,44066,0,0,0,0,0,0,0,0,0,"Bromley and Chislehurst","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,52245,0,0,0,0,0,0,0,0,0,"Bromsgrove","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,46024,0,0,0,0,0,0,0,0,0,"Broxbourne","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Broxtowe","Labour","Conservative",53377,0,0,0,0,0,0,0,0
19075,0,0,0,0,0,0,0,0,0,0,"Buckingham","Speaker","Speaker",0,0,0,0,0,0,0,34617,0
0,0,0,0,0,0,0,0,0,0,0,"Burnley","Liberal.Democrat","Labour",0,0,39746,0,0,0,0,0,0
0,48974.0000000002,0,0,0,0,0,0,0,0,0,"Burton","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bury North","Labour","Conservative",45230,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Bury South","Labour","Labour",47045.0000000001,0,0,0,0,0,0,0,0
0,59341.0000000001,0,0,0,0,0,0,0,0,0,"Bury St Edmunds","Conservative","Conservative",0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,"Caerphilly","Labour","Labour",40283,0,0,0,0,0,0,0,0
