"Ulster.Unionist","Alliance","The.Workers...NI.","Democratic.Unionist","Social.Democratic.and.Labour","Sinn.Fein","Ulster.Popular.Unionist","Independent.Ulster.Unionist","Constituency","CV","FPTP","Labour","Liberal","Conservative","Plaid.Cymru","Social.Democratic","Scottish.National","Green","Independent.Labour","Speaker"
0,0,0,0,0,0,0,0,"Batley and Spen","Labour","Conservative",58033.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Battersea","Labour","Conservative",47225.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Beaconsfield","Conservative","Conservative",0,0,50512,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Beckenham","Conservative","Conservative",0,0,44230,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bedfordshire Mid","Conservative","Conservative",0,0,63434.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bedfordshire North","Conservative","Conservative",0,0,56325,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bedfordshire South West","Conservative","Conservative",0,0,62149,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Berkshire East","Conservative","Conservative",0,0,64849.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Berwick upon Tweed","Liberal","Liberal",0,42042,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bethnal Green and Stepney","Liberal","Labour",0,31872,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Beverley","Conservative","Conservative",0,0,60223.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bexhill and Battle","Conservative","Conservative",0,0,50524,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bexleyheath","Conservative","Conservative",0,5653.99999999546,40609.0000000045,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Billericay","Conservative","Conservative",0,0,61407.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birkenhead","Labour","Labour",47489,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Edgbaston","Social.Democratic","Conservative",0,0,0,0,37010.9999999999,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Erdington","Labour","Labour",37137.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Hall Green","Social.Democratic","Conservative",0,0,0,0,45658,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Hodge Hill","Labour","Labour",40823,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Ladywood","Labour","Labour",38096,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Northfield","Conservative","Conservative",0,0,53231.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Perry Barr","Labour","Labour",51369,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Selly Oak","Conservative","Conservative",0,0,52765.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Sparkbrook","Labour","Labour",33496,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birmingham Yardley","Liberal","Conservative",0,42073.9999999999,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Birminghan Small Heath","Labour","Labour",34212,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bishop Auckland","Labour","Labour",53456,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blaby","Conservative","Conservative",0,0,62334,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blackburn","Labour","Labour",56035,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blackpool North","Liberal","Conservative",0,43071,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blackpool South","Social.Democratic","Conservative",0,0,0,0,42285.0000000001,0,0,0,0
0,0,0,0,0,0,0,0,"Blaenau Gwent","Labour","Labour",43247,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blaydon","Labour","Labour",50213.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Blyth Valley","Social.Democratic","Labour",0,0,0,0,46178,0,0,0,0
0,0,0,0,0,0,0,0,"Bolsover","Labour","Labour",50622,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bolton North East","Labour","Conservative",46730.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bolton South East","Labour","Labour",49362.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bolton West","Conservative","Conservative",0,0,55901,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Boothferry","Conservative","Conservative",0,0,56960.0000000002,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bootle","Labour","Labour",52293,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bosworth","Conservative","Conservative",0,0,62720.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bournemouth East","Conservative","Conservative",0,0,53052,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bournemouth West","Social.Democratic","Conservative",0,0,0,0,54600.9999999999,0,0,0,0
0,0,0,0,0,0,0,0,"Bow and Poplar","Liberal","Labour",0,33671,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bradford North","Labour","Labour",49040.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bradford South","Labour","Labour",51260.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bradford West","Labour","Labour",49656,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Braintree","Conservative","Conservative",0,0,60863,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brecon and Radnor","Liberal","Liberal",0,41676.9999999999,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brent East","Labour","Labour",39352,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brent North","Conservative","Conservative",0,0,44793.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brent South","Labour","Labour",40724,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brentford and Isleworth","Conservative","Conservative",0,0,54981.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brentwood and Ongar","Conservative","Conservative",0,0,53323,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bridgend","Labour","Labour",46060.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bridgwater","Social.Democratic","Conservative",0,0,0,0,52753.0000000001,0,0,0,0
0,0,0,0,0,0,0,0,"Bridlington","Conservative","Conservative",0,0,59017.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brigg and Cleethorpes","Conservative","Conservative",0,0,61076,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brighton Kemptown","Conservative","Conservative",0,0,44882,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Brighton Pavilion","Conservative","Conservative",0,0,43429,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bristol East","Liberal","Conservative",0,49935.9999999999,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bristol North West","Conservative","Conservative",0,0,57838.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bristol South","Labour","Labour",50744,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bristol West","Liberal","Conservative",0,54120,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bromsgrove","Conservative","Conservative",0,0,53080.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Broxbourne","Conservative","Conservative",0,0,53123,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Broxtowe","Conservative","Conservative",0,0,56834.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Buckingham","Conservative","Conservative",0,0,54851,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Burnley","Labour","Labour",51964.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Burton","Conservative","Conservative",0,0,57536,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bury North","Conservative","Conservative",0,0,56068.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bury South","Conservative","Conservative",0,0,51849,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Bury St. Edmunds","Conservative","Conservative",0,0,56784.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Caernarfon","Plaid.Cymru","Plaid.Cymru",0,0,0,35619,0,0,0,0,0
0,0,0,0,0,0,0,0,"Caerphilly","Labour","Labour",49107,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Caithness and Sutherland","Social.Democratic","Social.Democratic",0,0,0,0,22323,0,0,0,0
0,0,0,0,0,0,0,0,"Calder Valley","Conservative","Conservative",0,0,59500.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cambridge","Social.Democratic","Conservative",0,0,0,0,54104,0,0,0,0
0,0,0,0,0,0,0,0,"Cambridgeshire North East","Liberal","Conservative",0,57429,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cambridgeshire South East","Conservative","Conservative",0,0,55994,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cambridgeshire South West","Conservative","Conservative",0,0,63427.0000000002,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cannock and Burntwood","Conservative","Conservative",0,0,54381,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Canterbury","Conservative","Conservative",0,0,56096,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cardiff Central","Liberal","Conservative",0,41093,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cardiff North","Social.Democratic","Conservative",0,0,0,0,44305,0,0,0,0
0,0,0,0,0,0,0,0,"Cardiff South and Penarth","Labour","Labour",44836.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cardiff West","Labour","Labour",44648.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Carlisle","Social.Democratic","Labour",0,0,0,0,43361,0,0,0,0
0,0,0,0,0,0,0,0,"Carmarthen","Labour","Labour",35046.0000000001,0,0,19034,0,0,0,0,0
0,0,0,0,0,0,0,0,"Carrick, Cumnock and Doon Valley","Labour","Labour",42736,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Carshalton and Wallington","Conservative","Conservative",0,0,51842.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Castle Point","Conservative","Conservative",0,0,49536.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ceredigion and Pembroke North","Liberal","Liberal",0,48300.0000000001,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cheadle","Liberal","Conservative",0,55374,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chelmsford","Liberal","Conservative",0,67829,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chelsea","Green","Conservative",0,0,1983.00000000001,0,0,0,26577,0,0
0,0,0,0,0,0,0,0,"Cheltenham","Liberal","Conservative",0,62547,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chertsey and Walton","Conservative","Conservative",0,0,53954,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chesham and Amersham","Conservative","Conservative",0,0,55498.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chester, City of","Conservative","Conservative",0,0,52571,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chesterfield","Liberal","Labour",0,53959,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chichester","Conservative","Conservative",0,0,60318.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chingford","Conservative","Conservative",0,0,43549.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chipping Barnet","Conservative","Conservative",0,0,42616,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chislehurst","Conservative","Conservative",0,0,41938,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Chorley","Conservative","Conservative",0,0,60393,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Christchurch","Conservative","Conservative",0,0,54112.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cirencester and Tewkesbury","Conservative","Conservative",0,0,65224,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"City of London and Westminster South","Social.Democratic","Conservative",0,0,0,0,33445,0,0,0,0
0,0,0,0,0,0,0,0,"Clackmannan","Labour","Labour",37814.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Clwyd North West","Conservative","Conservative",0,0,49695.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Clwyd South West","Social.Democratic","Labour",0,0,0,0,47138.9999999999,0,0,0,0
0,0,0,0,0,0,0,0,"Clydebank and Milngavie","Labour","Labour",39578,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Clydesdale","Labour","Labour",48184,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Colchester North","Conservative","Conservative",0,0,62639.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Colchester South and Maldon","Conservative","Conservative",0,0,63533.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Colne Valley","Liberal","Conservative",0,56204,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Congleton","Liberal","Conservative",0,54867.0000000001,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Conwy","Liberal","Conservative",0,40662,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Copeland","Labour","Labour",44475,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Corby","Labour","Conservative",52646,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cornwall North","Liberal","Conservative",0,57761,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cornwall South East","Liberal","Conservative",0,55876,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Coventry North East","Labour","Labour",47299,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Coventry North West","Labour","Labour",39692.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Coventry South East","Social.Democratic","Labour",0,0,0,0,37859,0,0,0,0
0,0,0,0,0,0,0,0,"Coventry South West","Conservative","Conservative",0,0,51592.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Crawley","Conservative","Conservative",0,0,59054.0000000002,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Crewe and Nantwich","Labour","Labour",57844,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Crosby","Social.Democratic","Conservative",0,0,0,0,66823,0,0,0,0
0,0,0,0,0,0,0,0,"Croydon Central","Conservative","Conservative",0,0,39084,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Croydon North East","Speaker","Speaker",0,0,0,0,19797,0,0,0,24188
0,0,0,0,0,0,0,0,"Croydon North West","Conservative","Conservative",0,0,39705,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Croydon South","Conservative","Conservative",0,0,47980.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cumbernauld and Kilsyth","Labour","Labour",35653.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cunninghame North","Labour","Labour",42871,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cunninghame South","Labour","Labour",37363.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Cynon Valley","Labour","Labour",38060.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dagenham","Labour","Labour",41527,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Darlington","Conservative","Conservative",0,0,53290,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dartford","Conservative","Conservative",0,0,56879.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Daventry","Conservative","Conservative",0,0,54113,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Davyhulme","Conservative","Conservative",0,0,50704,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Delyn","Labour","Conservative",52483.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Denton and Reddish","Labour","Labour",52493,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Derby North","Conservative","Conservative",0,0,54310.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Derby South","Labour","Labour",48098.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Derbyshire North East","Labour","Labour",55759,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Derbyshire South","Conservative","Conservative",0,0,65052,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Derbyshire West","Liberal","Conservative",0,58795.9999999999,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Devizes","Conservative","Conservative",0,0,66401.0000000002,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Devon North","Liberal","Conservative",0,55140.0000000001,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Devon West and Torridge","Liberal","Conservative",0,58657.9999999999,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dewsbury","Labour","Labour",55798.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Don Valley","Labour","Labour",54960,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Doncaster Central","Labour","Labour",51340,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Doncaster North","Labour","Labour",53362,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dorset North","Conservative","Conservative",0,0,57619.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dorset South","Conservative","Conservative",0,0,54795.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dorset West","Conservative","Conservative",0,0,50369,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dover","Conservative","Conservative",0,0,55087,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dudley East","Labour","Labour",54376,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dudley West","Conservative","Conservative",0,0,64680.9999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dulwich","Labour","Conservative",33438.0000000008,0,0,0,5603.99999999917,0,0,0,0
0,0,0,0,0,0,0,0,"Dumbarton","Labour","Labour",45958,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dumfries","Social.Democratic","Conservative",0,0,0,0,44881,0,0,0,0
0,0,0,0,0,0,0,0,"Dundee East","Scottish.National","Labour",0,0,0,0,0,46144,0,0,0
0,0,0,0,0,0,0,0,"Dundee West","Labour","Labour",46392,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dunfermline East","Labour","Labour",39196,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Dunfermline West","Social.Democratic","Labour",0,0,0,0,39307,0,0,0,0
0,0,0,0,0,0,0,0,"Durham North","Labour","Labour",54765.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Durham North West","Labour","Labour",45081,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Durham, City of","Social.Democratic","Labour",0,0,0,0,52047.0000000001,0,0,0,0
0,0,0,0,0,0,0,0,"Ealing Acton","Conservative","Conservative",0,0,47737.9999999999,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ealing North","Conservative","Conservative",0,0,53820.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ealing Southall","Labour","Labour",51930.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Easington","Labour","Labour",47599.9999999999,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"East Kilbride","Labour","Labour",49977.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"East Lothian","Labour","Labour",51168,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Eastbourne","Conservative","Conservative",0,0,56046.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Eastleigh","Conservative","Conservative",0,0,69412,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Eastwood","Social.Democratic","Conservative",0,0,0,0,49100,0,0,0,0
0,0,0,0,0,0,0,0,"Eccles","Labour","Labour",49917,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Eddisbury","Conservative","Conservative",0,0,57663,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Edinburgh Central","Liberal","Labour",6447.99999999769,34624.0000000023,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Edinburgh East","Labour","Labour",36245,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Edinburgh Leith","Labour","Labour",42769,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Edinburgh Pentlands","Social.Democratic","Conservative",0,0,0,0,45147,0,0,0,0
0,0,0,0,0,0,0,0,"Edinburgh South","Social.Democratic","Labour",0,0,0,0,48358,0,0,0,0
0,0,0,0,0,0,0,0,"Edinburgh West","Liberal","Conservative",0,49397,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Edmonton","Conservative","Conservative",0,0,47941.0000000001,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Ellesmere Port and Neston","Labour","Conservative",57618.0000000001,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Elmet","Conservative","Conservative",0,0,54715.0000000002,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Eltham","Liberal","Conservative",0,41586,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Enfield North","Conservative","Conservative",0,0,51777.9999999998,0,0,0,0,0,0
0,0,0,0,0,0,0,0,"Enfield Southgate","Conservative","Conservative",0,0,48355,0,0,0,0,0,0
