"Labour","UK.Independence.Party","Conservative","Plaid.Cymru","Liberal.Democrat","Green","Trade.Unionist.and.Socialist.Coalition","Scottish.National.Party","National.Health.Action.Party","Cannabis.is.Safer.than.Alcohol.Party","Respect","Speaker","Ind38","Constituency","CV1","CV3","CV17","CV18","CV20","CV31","CV38","CV41","CV45","CV53","CV63","CV66","CV91","CV99","CV113","CV135","CV136","CV146","CV167","CV169","CV197","CV206","CV211","CV246","CV263","CV290","CV345","CV360","CV366","CV385","CV408","CV420","CV423","CV434","CV446","CV449","CV451","CV501","CV560","CV612","CV614","CV672","CV688","CV692","CV694","CV697","CV706","CV730","CV759","CV767","CV884","CV937","CV972","CV975","CV989","CV1001","CV1020","CV1054","CV1064","CV1097","CV1105","CV1164","CV1175","CV1202","CV1213","CV1221","CV1228","CV1229","CV1233","CV1290","CV1305","CV1308","CV1309","CV1335","CV1339","CV1362","CV1434","CV1446","CV1448","CV1450","CV1453","CV1462","CV1469","CV1511","CV1516","CV1535","CV1544","CV1571","CV1576","CV1581","CV1582","CV1586","CV1595","CV1602","CV1619","CV1649","CV1688","CV1708","CV1745","CV1757","CV1774","CV1783","CV1784","CV1795","CV1798","CV1813","CV1836","CV1858","CV1892","CV1897","CV1910","CV1929","CV1935","CV1945","CV1961","CV1966","CV1969","CV1970","CV1975","CV1977","CV1979","CV1980","CV2005","CV2006","CV2012","CV2015","CV2016","CV2017","CV2019","CV2020","CV2024","CV2027","CV2031","CV2038","CV2039","CV2045","CV2060","CV2075","CV2077","CV2082","CV2085","CV2087","CV2093","CV2094","CV2096","CV2101","CV2103","CV2115","CV2119","CV2147","CV2148","CV2163","CV2168","CV2186","CV2215","CV2238","CV2249","CV2268","CV2273","CV2287","CV2288","CV2289","CV2290","CV2296","CV2302","CV2360","CV2365","CV2373","CV2384","CV2386","CV2393","CV2410","CV2419","CV2429","CV2435","CV2437","CV2444","CV2456","CV2471","CV2474","CV2479","CV2486","CV2487","CV2525","CV2527","CV2534","CV2539","CV2570","CV2632","CV2645","CV2656","CV2688","CV2689","CV2693","CV2695","CV2697","CV2698"
21611,7708,24023,0,1458,1374,0,0,0,0,0,0,0,"Corby","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
22025,6278,9751,0,2007,1245,633,0,0,0,0,0,0,"Coventry North East","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
18557,7101,14048,0,1810,1961,1769,0,0,0,0,0,0,"Coventry North West","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
18472,5709,15284,0,1779,1719,650,0,0,0,0,0,0,"Coventry South","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
16303,6979,22829,0,1339,1100,0,0,0,0,0,0,0,"Crawley","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative"
18825,7252,22445,0,1374,0,0,0,0,0,0,0,0,"Crewe and Nantwich","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
22588,4810,22753,0,1152,1454,127,0,0,0,0,0,0,"Croydon Central","Conservative","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
33513,2899,12149,0,1919,2515,261,0,0,0,0,0,0,"Croydon North","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour"
14308,6068,31448,0,3448,2154,0,0,0,0,0,0,0,"Croydon South","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative","Conservative"
14820,0,3891,0,1099,0,0,29572,0,0,0,0,0,"Cumbernauld, Kilsyth and Kirkintilloch East","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party","Scottish.National.Party"
14532,4976,3676,5126,830,799,0,0,0,0,0,0,0,"Cynon Valley","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","Green","Green","Green","Green","Green","Green","Green"
17830,12850,10492,0,717,806,0,0,0,0,0,0,0,"Dagenham and Rainham","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","Labour","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party","UK.Independence.Party"
