"Con","Lab","LDem","SNP","PC","UKIP","Grn","Oth","Speaker","Ind64","Constituency","CV1","CV2","CV4","CV6","CV24","CV28","CV37","CV67","CV95","CV112","CV148","CV152","CV164","CV166","CV170","CV190","CV191","CV201","CV323","CV349","CV381","CV417","CV468","CV483","CV575","CV598","CV609","CV627","CV649","CV650","CV653","CV681","CV712","CV719","CV798","CV821","CV839","CV879","CV898","CV911","CV941","CV973","CV994","CV1003","CV1048","CV1064","CV1135","CV1211","CV1285","CV1299","CV1334","CV1356","CV1372","CV1380","CV1388","CV1446","CV1477","CV1485","CV1524","CV1536","CV1566","CV1574","CV1581","CV1595","CV1614","CV1635","CV1677","CV1696","CV1714","CV1774","CV1799","CV1821","CV1828","CV1856","CV1857","CV1858","CV1861","CV1862","CV1880","CV1895","CV1915","CV1924","CV1939","CV1957","CV1971","CV1977","CV1986","CV1990","CV1995","CV2002","CV2008","CV2013","CV2025","CV2029","CV2033","CV2035","CV2052","CV2053","CV2069","CV2086","CV2097","CV2107","CV2136","CV2152","CV2167","CV2183","CV2206","CV2211","CV2229","CV2232","CV2258","CV2270","CV2298"
18148,5233,1308,15504,0,0,0,0,0,0,"Angus","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con"
4614,11427,648,0,11519,0,0,0,0,0,"Arfon","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC","PC"
15976,6044,8745,17304,0,0,0,0,0,0,"Argyll & Bute","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","SNP","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem","LDem"
37573,13690,4783,0,0,1668,2542,0,0,0,"Arundel & South Downs","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con"
20844,21285,868,0,0,0,398,0,0,0,"Ashfield","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab"
35318,17840,3101,0,0,2218,1402,0,0,0,"Ashford","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con"
12710,24005,646,0,0,1878,534,0,0,0,"AshtonunderLyne","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab","Lab"
32313,17617,5660,0,0,1296,1237,0,0,0,"Aylesbury","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con"
18550,11024,872,15776,0,0,0,0,0,0,"Ayr, Carrick & Cumnock","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con"
33388,20989,3452,0,0,1581,1225,0,0,0,"Banbury","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con","Con"
