Constituency,Nation,Region,Electorate,Votes,Result,Con,Lab,LDem,SNP,PC,UKIP,Grn,Ind,Oth,DUP,SF,AP,SDLP,UUP,WP,PBPA,TUV,CISTA,Speaker
Greenwich & Woolwich,England,London,77190,53106,Hold,13501,34215,3785,,,,1605,,,,,,,,,,,,
Guildford,England,South East,75291,55509,Hold,30295,10545,13255,,,,1152,57,205,,,,,,,,,,
Hackney North & Stoke Newington,England,London,85058,56298,Hold,7126,42265,3817,,,,2606,203,281,,,,,,,,,,
Hackney South & Shoreditch,England,London,83099,55128,Hold,6043,43974,3168,,,,1522,143,278,,,,,,,,,,
Halesowen & Rowley Regis,England,West Midlands,68856,44379,Hold,23012,17759,859,,,2126,440,183,,,,,,,,,,,
Halifax,England,Yorkshire & Humber,71224,48276,Hold,20131,25507,1070,,,1568,,,,,,,,,,,,,
Haltemprice & Howden,England,Yorkshire & Humber,71519,51440,Hold,31355,15950,2482,,,,711,942,,,,,,,,,,,
Halton,England,North West,73457,49553,Hold,10710,36150,896,,,1488,,309,,,,,,,,,,,
Hammersmith,England,London,72803,52252,Hold,14724,33375,2802,,,507,800,44,,,,,,,,,,,
Hampstead & Kilburn,England,London,82957,58407,Hold,18904,34464,4100,,,,742,136,61,,,,,,,,,,
Harborough,England,East Midlands,78810,57568,Hold,30105,17706,7286,,,1361,1110,,,,,,,,,,,,
Harlow,England,East of England,67699,44846,Hold,24230,17199,970,,,1787,660,,,,,,,,,,,,
Harrogate & Knaresborough,England,Yorkshire & Humber,77280,56740,Hold,31477,11395,13309,,,,,559,,,,,,,,,,,
Harrow East,England,London,71755,50845,Hold,25129,23372,1573,,,,771,,,,,,,,,,,,
Harrow West,England,London,69797,50355,Hold,17326,30640,1267,,,470,652,,,,,,,,,,,,
Hartlepool,England,North East,70718,41835,Hold,14319,21969,746,,,4801,,,,,,,,,,,,,
Harwich & North Essex,England,East of England,71294,51141,Hold,29921,15565,2787,,,1685,1042,,141,,,,,,,,,,
Hastings & Rye,England,South East,78319,54766,Hold,25668,25322,1885,,,1479,,412,,,,,,,,,,,
Havant,England,South East,72470,46314,Hold,27676,11720,2801,,,2011,1122,984,,,,,,,,,,,
Hayes & Harlington,England,London,73268,47802,Hold,13681,31796,601,,,1153,571,,,,,,,,,,,,
Hazel Grove,England,North West,63166,44132,Hold,20047,9036,14533,,,,516,,,,,,,,,,,,
Hemel Hempstead,England,East of England,74415,52282,Hold,28735,19290,3233,,,,1024,,,,,,,,,,,,
Hemsworth,England,Yorkshire & Humber,71870,45944,Hold,15566,25740,912,,,2591,,1135,,,,,,,,,,,
Hendon,England,London,76522,52211,Hold,25078,24002,1985,,,568,578,,,,,,,,,,,,
Henley,England,South East,74997,57099,Hold,33749,11455,8485,,,1154,1864,,392,,,,,,,,,,
Hereford & South Herefordshire,England,West Midlands,71088,50484,Hold,27004,11991,3556,,,1153,1220,5560,,,,,,,,,,,
Hertford & Stortford,England,East of England,82339,59992,Hold,36184,17149,4845,,,,1814,,,,,,,,,,,,
Hertsmere,England,East of England,73561,52253,Hold,31928,14977,2794,,,1564,990,,,,,,,,,,,,
Hexham,England,North East,61053,46224,Hold,24996,15760,3285,,,930,1253,,,,,,,,,,,,
Heywood & Middleton,England,North West,79901,49865,Hold,18961,26578,1087,,,3239,,,,,,,,,,,,,
High Peak,England,East Midlands,73248,53853,Gain,24431,26753,2669,,,,,,,,,,,,,,,,
Hitchin & Harpenden,England,East of England,75916,58846,Hold,31189,19158,6236,,,,1329,692,242,,,,,,,,,,
Holborn & St Pancras,England,London,88088,58997,Hold,10834,41343,4020,,,727,1980,,93,,,,,,,,,,
Hornchurch & Upminster,England,London,80802,56107,Hold,33750,16027,1371,,,3502,1077,,380,,,,,,,,,,
Hornsey & Wood Green,England,London,79946,62293,Hold,9246,40738,10000,,,429,1181,,699,,,,,,,,,,
Horsham,England,South East,82772,61987,Hold,36906,13422,7644,,,1533,1844,,638,,,,,,,,,,
Houghton & Sunderland South,England,North East,68123,41580,Hold,12324,24765,908,,,2379,725,479,,,,,,,,,,,
Hove,England,South East,74236,57596,Hold,18185,36942,1311,,,,971,187,,,,,,,,,,,
Huddersfield,England,Yorkshire & Humber,67037,43834,Hold,14465,26470,1155,,,,1395,274,75,,,,,,,,,,
Huntingdon,England,East of England,84273,59720,Hold,32915,18440,5090,,,2180,1095,,,,,,,,,,,,
Hyndburn,England,North West,73111,45202,Hold,18305,24120,824,,,1953,,,,,,,,,,,,,
Ilford North,England,London,70791,52941,Hold,20950,30589,1034,,,,,368,,,,,,,,,,,
Ilford South,England,London,82487,57657,Hold,12077,43724,772,,,477,542,,65,,,,,,,,,,
Inverclyde,Scotland,Scotland,58853,39093,Hold,8399,14666,978,15050,,,,,,,,,,,,,,,
"Inverness, Nairn, Badenoch & Strathspey",Scotland,Scotland,76844,52801,Hold,16118,8552,6477,21042,,,,612,,,,,,,,,,,
Ipswich,England,East of England,75668,51016,Gain,23393,24224,1187,,,1372,840,,,,,,,,,,,,
Isle of Wight,England,South East,110683,74479,Hold,38190,17121,2740,,,1921,12915,1592,,,,,,,,,,,
Islington North,England,London,74831,55228,Hold,6871,40086,4946,,,413,2229,41,642,,,,,,,,,,
Islington South & Finsbury,England,London,69536,48049,Hold,9925,30188,5809,,,929,1198,,,,,,,,,,,,
Islwyn,Wales,Wales,56256,36093,Hold,9826,21238,685,,2739,1605,,,,,,,,,,,,,
Jarrow,England,North East,64778,43023,Hold,10757,28020,1163,,,2338,745,,,,,,,,,,,,
Keighley,England,Yorkshire & Humber,71429,51724,Gain,23817,24066,1226,,,1291,790,534,,,,,,,,,,,
Kenilworth & Southam,England,West Midlands,66319,51311,Hold,31207,13121,4921,,,929,1133,,,,,,,,,,,,
Kensington,England,London,60588,38677,Gain,16313,16333,4724,,,,767,393,147,,,,,,,,,,
Kettering,England,East Midlands,71440,49404,Hold,28616,18054,1618,,,,1116,,,,,,,,,,,,
Kilmarnock & Loudoun,Scotland,Scotland,73327,46509,Hold,12404,13421,994,19690,,,,,,,,,,,,,,,
Kingston & Surbiton,England,London,81588,62178,Gain,23686,9203,27810,,,675,536,100,168,,,,,,,,,,
Kingston upon Hull East,England,Yorkshire & Humber,65959,36638,Hold,10959,21355,1258,,,2573,493,,,,,,,,,,,,
Kingston upon Hull North,England,Yorkshire & Humber,64665,37102,Hold,9363,23625,1869,,,1601,644,,,,,,,,,,,,
Kingston upon Hull West & Hessle,England,Yorkshire & Humber,60181,34565,Hold,10317,18342,2210,,,1399,332,1898,67,,,,,,,,,,
Kingswood,England,South West,69368,48741,Hold,26754,19254,1749,,,,984,,,,,,,,,,,,
Kirkcaldy & Cowdenbeath,Scotland,Scotland,72721,46193,Gain,10762,17016,1118,16757,,540,,,,,,,,,,,,,
Knowsley,England,North West,81760,55483,Hold,5137,47351,1189,,,1285,521,,,,,,,,,,,,
Lagan Valley,Northern Ireland,Northern Ireland,72380,44926,,462,,,,,,,222,,26762,1567,4996,3384,7533,,,,,
Lanark & Hamilton East,Scotland,Scotland,77313,50470,Hold,16178,16084,1214,16444,,550,,,,,,,,,,,,,
Lancaster & Fleetwood,England,North West,67154,45989,Hold,18681,25342,1170,,,,796,,,,,,,,,,,,
Leeds Central,England,Yorkshire & Humber,89537,47673,Hold,9755,33453,1063,,,2056,1189,157,,,,,,,,,,,
Leeds East,England,Yorkshire & Humber,65950,41441,Hold,12676,25428,739,,,1742,434,422,,,,,,,,,,,
Leeds North East,England,Yorkshire & Humber,70112,52999,Hold,16445,33436,1952,,,,680,303,183,,,,,,,,,,
Leeds North West,England,Yorkshire & Humber,68152,46287,Gain,9097,20416,16192,,,,582,,,,,,,,,,,,
Leeds West,England,Yorkshire & Humber,67955,42229,Hold,11048,27013,905,,,1815,1023,378,47,,,,,,,,,,
Leicester East,England,East Midlands,77788,52404,Hold,12668,35116,1343,,,,1070,1753,454,,,,,,,,,,
Leicester South,England,East Midlands,75534,50607,Hold,10986,37157,1287,,,,1177,,,,,,,,,,,,
Leicester West,England,East Midlands,64843,37485,Hold,11736,22823,792,,,1406,607,121,,,,,,,,,,,
Leigh,England,North West,76202,46874,Hold,16793,26347,951,,,2783,,,,,,,,,,,,,
Lewes,England,South East,70941,54192,Hold,26820,6060,21312,,,,,,,,,,,,,,,,
Lewisham East,England,London,68124,47201,Hold,10859,32072,2086,,,798,803,355,228,,,,,,,,,,
Lewisham West & Penge,England,London,72899,53196,Hold,12249,35411,3317,,,700,1144,,375,,,,,,,,,,
"Lewisham, Deptford",England,London,78468,55112,Hold,7562,42461,2911,,,,1640,,538,,,,,,,,,,
Leyton & Wanstead,England,London,65149,46173,Hold,9627,32234,2961,,,,1351,,,,,,,,,,,,
Lichfield,England,West Midlands,74430,53524,Hold,34018,15437,2653,,,,1416,,,,,,,,,,,,
Lincoln,England,East Midlands,73111,48594,Gain,21795,23333,1284,,,1287,583,312,,,,,,,,,,,
Linlithgow & East Falkirk,Scotland,Scotland,86186,56094,Hold,16311,17469,1926,20388,,,,,,,,,,,,,,,
"Liverpool, Riverside",England,North West,76332,48020,Hold,4652,40599,1187,,,,1582,,,,,,,,,,,,
"Liverpool, Walton",England,North West,62738,42197,Hold,3624,36175,638,,,,523,1237,,,,,,,,,,,
"Liverpool, Wavertree",England,North West,62411,43640,Hold,5251,34717,2858,,,,598,216,,,,,,,,,,,
"Liverpool, West Derby",England,North West,65164,44529,Hold,4463,37371,545,,,,,,2150,,,,,,,,,,
Livingston,Scotland,Scotland,81208,52505,Hold,12799,17158,1512,21036,,,,,,,,,,,,,,,
Llanelli,Wales,Wales,59434,40342,Hold,9544,21568,548,,7351,1331,,,,,,,,,,,,,
Loughborough,England,East Midlands,79607,54148,Hold,27022,22753,1937,,,1465,971,,,,,,,,,,,,
Louth & Horncastle,England,East Midlands,79007,52771,Hold,33733,14092,1990,,,2460,,,496,,,,,,,,,,
Ludlow,England,West Midlands,68034,49970,Hold,31433,12147,5336,,,,1054,,,,,,,,,,,,
Luton North,England,East of England,66811,46622,Hold,15401,29765,808,,,,648,,,,,,,,,,,,
Luton South,England,East of England,67188,46133,Hold,14879,28804,1056,,,795,439,160,,,,,,,,,,,
Macclesfield,England,North West,75228,51932,Hold,28595,19987,3350,,,,,,,,,,,,,,,,
Maidenhead,England,South East,76076,58239,Hold,37718,11261,6540,,,871,907,249,693,,,,,,,,,,
Maidstone & The Weald,England,South East,75334,51696,Hold,29136,11432,8455,,,1613,888,172,,,,,,,,,,,
Makerfield,England,North West,74259,47262,Hold,14703,28245,1322,,,,329,,2663,,,,,,,,,,
Maldon,England,East of England,71470,50202,Hold,34111,10681,2181,,,1899,1073,,257,,,,,,,,,,
Manchester Central,England,North West,90261,49720,Hold,7045,38490,1678,,,1469,846,,192,,,,,,,,,,
"Manchester, Gorton",England,North West,75362,45953,Hold,3355,35085,2597,,,952,1038,2615,311,,,,,,,,,,
"Manchester, Withington",England,North West,74654,53602,Hold,5530,38424,8549,,,,865,,234,,,,,,,,,,
Mansfield,England,East Midlands,77811,50157,Gain,23392,22335,697,,,2654,,1079,,,,,,,,,,,
Meon Valley,England,South East,74246,54192,Hold,35624,9932,5900,,,1435,1301,,,,,,,,,,,,
Meriden,England,West Midlands,81443,54643,Hold,33873,14675,2663,,,2016,1416,,,,,,,,,,,,
Merthyr Tydfil & Rhymney,Wales,Wales,55463,33545,Hold,6073,22407,841,,2740,1484,,,,,,,,,,,,,
Mid Bedfordshire,England,East of England,84161,63148,Hold,38936,17953,3798,,,,1794,,667,,,,,,,,,,
Mid Derbyshire,England,East Midlands,67466,50371,Hold,29513,17897,1793,,,,1168,,,,,,,,,,,,
Mid Dorset & North Poole,England,South West,65050,48254,Hold,28585,6423,13246,,,,,,,,,,,,,,,,
Mid Norfolk,England,East of England,80027,55668,Hold,32828,16742,2848,,,2092,1158,,,,,,,,,,,,
Mid Sussex,England,South East,84170,61632,Hold,35082,15409,7855,,,1251,1571,,464,,,,,,,,,,
Mid Ulster,Northern Ireland,Northern Ireland,68485,46694,,,,,,,,,,,12565,25455,1094,4563,3017,,,,,
Mid Worcestershire,England,West Midlands,76057,55089,Hold,35967,12641,3450,,,1660,1371,,,,,,,,,,,,
Middlesbrough,England,North East,61059,35637,Hold,9531,23404,368,,,1452,250,632,,,,,,,,,,,
Middlesbrough South & East Cleveland,England,North East,72336,47620,Gain,23643,22623,1354,,,,,,,,,,,,,,,,
Midlothian,Scotland,Scotland,68328,45273,Gain,11521,16458,1721,15573,,,,,,,,,,,,,,,
Milton Keynes North,England,South East,89207,63864,Hold,30307,28392,2499,,,1390,1107,,169,,,,,,,,,,
Milton Keynes South,England,South East,92417,64486,Hold,30652,28927,1895,,,1833,1179,,,,,,,,,,,,
Mitcham & Morden,England,London,68705,48118,Hold,11664,33039,1494,,,1054,644,,223,,,,,,,,,,
Mole Valley,England,South East,74545,56726,Hold,35092,7864,10955,,,1352,1463,,,,,,,,,,,,
Monmouth,Wales,Wales,64909,49734,Hold,26411,18205,2064,,1338,762,954,,,,,,,,,,,,
Montgomeryshire,Wales,Wales,50755,34891,Hold,18075,5542,8790,,1960,,524,,,,,,,,,,,,
Moray,Scotland,Scotland,70649,47605,Gain,22637,5208,1078,18478,,,,204,,,,,,,,,,,
Morecambe & Lunesdale,England,North West,66818,45657,Hold,21773,20374,1699,,,1333,478,,,,,,,,,,,,
Morley & Outwood,England,Yorkshire & Humber,76495,52357,Hold,26550,24446,1361,,,,,,,,,,,,,,,,
Motherwell & Wishaw,Scotland,Scotland,68215,41926,Hold,8490,15832,920,16150,,534,,,,,,,,,,,,,
Na hEileanan an Iar,Scotland,Scotland,21301,14818,Hold,2441,5006,250,6013,,,,1108,,,,,,,,,,,
Neath,Wales,Wales,55862,38285,Hold,9082,21713,732,,5339,1419,,,,,,,,,,,,,
New Forest East,England,South East,72602,51366,Hold,32162,10167,7786,,,,1251,,,,,,,,,,,,
New Forest West,England,South East,68786,49627,Hold,33170,9739,4781,,,,1454,,483,,,,,,,,,,
Newark,England,East Midlands,75510,55042,Hold,34493,16344,2786,,,1419,,,,,,,,,,,,,
Newbury,England,South East,82924,60849,Hold,37399,8596,13019,,,,1531,,304,,,,,,,,,,
Newcastle upon Tyne Central,England,North East,55368,37094,Hold,9134,24071,1812,,,1482,595,,,,,,,,,,,,
Newcastle upon Tyne East,England,North East,61989,41637,Hold,8866,28127,2574,,,1315,755,,,,,,,,,,,,
Newcastle upon Tyne North,England,North East,66073,48288,Hold,16380,26729,2533,,,1780,513,,353,,,,,,,,,,
NewcastleunderLyme,England,West Midlands,65596,43842,Hold,21094,21124,1624,,,,,,,,,,,,,,,,
Newport East,Wales,Wales,57233,36820,Hold,12801,20804,966,,881,1180,,188,,,,,,,,,,,
Newport West,Wales,Wales,64399,43438,Hold,17065,22723,976,,1077,1100,497,,,,,,,,,,,,
Newry & Armagh,Northern Ireland,Northern Ireland,78266,53579,,,,,,,,,,,13177,25666,1256,9055,4425,,,,,
Newton Abbot,England,South West,71714,51637,Hold,28635,11475,10601,,,,926,,,,,,,,,,,,
"Normanton, Pontefract & Castleford",England,Yorkshire & Humber,81641,48453,Hold,14769,29268,693,,,3030,,693,,,,,,,,,,,
North Antrim,Northern Ireland,Northern Ireland,75657,48460,,,,,,,,,,,28521,7878,2723,2574,3482,,,3282,,
North Ayrshire & Arran,Scotland,Scotland,73176,47433,Hold,14818,13040,1124,18451,,,,,,,,,,,,,,,
North Cornwall,England,South West,68844,50944,Hold,25835,6151,18635,,,,,,323,,,,,,,,,,
North Devon,England,South West,75801,55705,Hold,25517,7063,21185,,,1187,753,,,,,,,,,,,,
North Dorset,England,South West,76324,55724,Hold,36169,10392,7556,,,,1607,,,,,,,,,,,,
North Down,Northern Ireland,Northern Ireland,64334,39148,,941,,,,,,2549,16148,,14940,531,3639,400,,,,,,
North Durham,England,North East,66970,43284,Hold,12978,25917,1981,,,2408,,,,,,,,,,,,,
North East Bedfordshire,England,East of England,87505,64220,Hold,39139,18277,3693,,,1896,1215,,,,,,,,,,,,
North East Cambridgeshire,England,East of England,84414,53284,Hold,34340,13070,2383,,,2174,1024,,293,,,,,,,,,,
North East Derbyshire,England,East Midlands,72097,50381,Gain,24784,21923,1390,,,1565,719,,,,,,,,,,,,
North East Fife,Scotland,Scotland,58685,41822,Hold,10088,4026,13741,13743,,,,224,,,,,,,,,,,
North East Hampshire,England,South East,74576,57627,Hold,37754,9982,6987,,,1061,1476,367,,,,,,,,,,,
North East Hertfordshire,England,East of England,75965,55580,Hold,32587,15752,4276,,,,2965,,,,,,,,,,,,
North East Somerset,England,South West,71355,54043,Hold,28992,18757,4461,,,,1245,588,,,,,,,,,,,
North Herefordshire,England,West Midlands,67751,50177,Hold,31097,9495,5874,,,,2771,577,363,,,,,,,,,,
North Norfolk,England,East of England,69271,52188,Hold,21748,5180,25260,,,,,,,,,,,,,,,,
North Shropshire,England,West Midlands,80535,55599,Hold,33642,17287,2948,,,,1722,,,,,,,,,,,,
North Somerset,England,South West,80529,61994,Hold,33605,16502,5982,,,,1976,3929,,,,,,,,,,,
North Swindon,England,South West,80168,54911,Hold,29431,21096,1962,,,1564,858,,,,,,,,,,,,
North Thanet,England,South East,72651,48325,Hold,27163,16425,1586,,,2198,825,,128,,,,,,,,,,
North Tyneside,England,North East,78914,51892,Hold,14172,33456,1494,,,2101,669,,,,,,,,,,,,
North Warwickshire,England,West Midlands,72277,47178,Hold,26860,18350,1028,,,,940,,,,,,,,,,,,
North West Cambridgeshire,England,East of England,93221,63991,Hold,37529,19521,3168,,,2518,1255,,,,,,,,,,,,
North West Durham,England,North East,71918,47902,Hold,16516,25308,3398,,,2150,530,,,,,,,,,,,,
North West Hampshire,England,South East,81430,58772,Hold,36471,13792,5708,,,1467,1334,,,,,,,,,,,,
North West Leicestershire,England,East Midlands,75362,53541,Hold,31153,17867,3420,,,,1101,,,,,,,,,,,,
North West Norfolk,England,East of England,72062,48811,Hold,29408,15620,1393,,,1539,851,,,,,,,,,,,,
North Wiltshire,England,South West,71408,51318,Hold,32398,9399,9521,,,,,,,,,,,,,,,,
Northampton North,England,East Midlands,58861,40378,Hold,19065,18258,1015,,,1404,636,,,,,,,,,,,,
Northampton South,England,East Midlands,61766,41034,Hold,19231,18072,1405,,,1630,696,,,,,,,,,,,,
Norwich North,England,East of England,66924,45895,Hold,21900,21393,1480,,,,782,,340,,,,,,,,,,
Norwich South,England,East of England,74182,51359,Hold,15715,31311,2841,,,,1492,,,,,,,,,,,,
Nottingham East,England,East Midlands,61760,39327,Hold,8512,28102,1003,,,817,698,,195,,,,,,,,,,
Nottingham North,England,East Midlands,66886,38319,Hold,11907,23067,674,,,2133,538,,,,,,,,,,,,
Nottingham South,England,East Midlands,71182,48129,Hold,14851,30013,1564,,,1103,598,,,,,,,,,,,,
Nuneaton,England,West Midlands,69201,46067,Hold,23755,19016,914,,,1619,763,,,,,,,,,,,,
Ochil & South Perthshire,Scotland,Scotland,76767,54168,Gain,22469,10847,1742,19110,,,,,,,,,,,,,,,
Ogmore,Wales,Wales,57125,37204,Hold,9354,23225,594,,2796,1235,,,,,,,,,,,,,
Old Bexley & Sidcup,England,London,66005,48042,Hold,29545,14079,1572,,,1619,820,,407,,,,,,,,,,
Oldham East & Saddleworth,England,North West,72184,47037,Hold,17447,25629,1683,,,2278,,,,,,,,,,,,,
Oldham West & Royton,England,North West,72401,43450,Hold,12648,29846,956,,,,,,,,,,,,,,,,
Orkney & Shetland,Scotland,Scotland,34164,23277,Hold,2024,2664,11312,6749,,283,,245,,,,,,,,,,,
Orpington,England,London,67902,50469,Hold,31762,12309,3315,,,2023,1060,,,,,,,,,,,,
Oxford East,England,South East,78350,53896,Hold,11834,35118,4904,,,,1785,255,,,,,,,,,,,
Oxford West & Abingdon,England,South East,75574,60020,Gain,25440,7573,26256,,,751,,,,,,,,,,,,,
Paisley & Renfrewshire North,Scotland,Scotland,67436,46615,Hold,12842,14842,1476,17455,,,,,,,,,,,,,,,
Paisley & Renfrewshire South,Scotland,Scotland,61344,41717,Hold,8122,14428,1327,16964,,,,876,,,,,,,,,,,
Pendle,England,North West,64962,44854,Hold,21986,20707,941,,,,502,,718,,,,,,,,,,
Penistone & Stocksbridge,England,Yorkshire & Humber,71293,49787,Hold,21485,22807,2042,,,3453,,,,,,,,,,,,,
Penrith & The Border,England,North West,65139,46470,Hold,28078,12168,3641,,,1142,1029,412,,,,,,,,,,,
Perth & North Perthshire,Scotland,Scotland,71762,51525,Hold,21783,5349,2589,21804,,,,,,,,,,,,,,,
Peterborough,England,East of England,71522,47738,Gain,22343,22950,1597,,,,848,,,,,,,,,,,,
"Plymouth, Moor View",England,South West,69342,45398,Hold,23548,18548,917,,,1849,536,,,,,,,,,,,,
"Plymouth, Sutton & Devonport",England,South West,76584,44621,Gain,17806,23808,1106,,,1148,213,540,,,,,,,,,,,
Pontypridd,Wales,Wales,60564,39894,Hold,10655,22103,1963,,4102,1071,,,,,,,,,,,,,
Poole,England,South West,73796,49850,Hold,28888,14679,4433,,,,1299,,551,,,,,,,,,,
Poplar & Limehouse,England,London,87331,59204,Hold,11846,39958,3959,,,849,989,1603,,,,,,,,,,,
Portsmouth North,England,South East,71374,47210,Hold,25860,15895,2608,,,1926,791,,130,,,,,,,,,,
Portsmouth South,England,South East,69785,44566,Gain,16736,18290,7699,,,1129,712,,,,,,,,,,,,
Preseli Pembrokeshire,Wales,Wales,58554,42197,Hold,18302,17988,1106,,2711,850,,1209,31,,,,,,,,,,
Preston,England,North West,57791,35741,Hold,8487,24210,1348,,,1348,348,,,,,,,,,,,,
Pudsey,England,Yorkshire & Humber,72622,53959,Hold,25550,25219,1761,,,,,291,1138,,,,,,,,,,
Putney,England,London,65031,46894,Hold,20679,19125,5448,,,477,1107,58,,,,,,,,,,,
Rayleigh & Wickford,England,East of England,78556,55323,Hold,36914,13464,1557,,,2326,1062,,,,,,,,,,,,
Reading East,England,South East,75537,55238,Gain,23344,27093,3378,,,,1093,188,142,,,,,,,,,,
Reading West,England,South East,74523,51766,Hold,25311,22435,3041,,,,979,,,,,,,,,,,,
Redcar,England,North East,66836,42560,Hold,14138,23623,2849,,,1950,,,,,,,,,,,,,
Redditch,England,West Midlands,64413,45113,Hold,23652,16289,1173,,,1371,380,,2248,,,,,,,,,,
Reigate,England,South East,74628,53823,Hold,30896,13282,5889,,,1542,2214,,,,,,,,,,,,
Rhondda,Wales,Wales,50514,32936,Hold,3333,21096,277,,7350,880,,,,,,,,,,,,,
Ribble Valley,England,North West,77968,55200,Hold,31919,18720,3247,,,,1314,,,,,,,,,,,,
Richmond (Yorks),England,Yorkshire & Humber,80905,57013,Hold,36458,13350,3360,,,,1739,2106,,,,,,,,,,,
Richmond Park,England,London,80025,63330,Hold,28588,5773,28543,,,426,,,,,,,,,,,,,
Rochdale,England,North West,78064,50044,Hold,14216,29035,4027,,,1641,,883,242,,,,,,,,,,
Rochester & Strood,England,South East,82702,52769,Hold,29232,19382,1189,,,1893,781,129,163,,,,,,,,,,
Rochford & Southend East,England,East of England,73501,47248,Hold,23013,17465,1265,,,1777,804,2924,,,,,,,,,,,
Romford,England,London,73493,49944,Hold,29671,15893,1215,,,2350,815,,,,,,,,,,,,
Romsey & Southampton North,England,South East,67186,50168,Hold,28668,9614,10662,,,,953,,271,,,,,,,,,,
"Ross, Skye & Lochaber",Scotland,Scotland,53638,38454,Hold,9561,4695,8042,15480,,,,499,177,,,,,,,,,,
Rossendale & Darwen,England,North West,72486,50156,Hold,25499,22283,1550,,,,824,,,,,,,,,,,,
Rother Valley,England,Yorkshire & Humber,75230,49488,Hold,19939,23821,1155,,,3704,869,,,,,,,,,,,,
Rotherham,England,Yorkshire & Humber,63237,37923,Hold,10017,21404,1754,,,3316,,1432,,,,,,,,,,,
Rugby,England,West Midlands,72175,51336,Hold,27872,19660,2851,,,,953,,,,,,,,,,,,
"Ruislip, Northwood & Pinner",England,London,73427,53400,Hold,30555,16575,3813,,,1171,1286,,,,,,,,,,,,
Runnymede & Weybridge,England,South East,74888,51609,Hold,31436,13386,3765,,,1675,1347,,,,,,,,,,,,
Rushcliffe,England,East Midlands,74738,58311,Hold,30223,22213,2759,,,1490,1626,,,,,,,,,,,,
Rutherglen & Hamilton West,Scotland,Scotland,80098,50872,Gain,9941,19101,2158,18836,,465,,371,,,,,,,,,,,
Rutland & Melton,England,East Midlands,78463,57569,Hold,36169,13065,4711,,,1869,1755,,,,,,,,,,,,
Saffron Walden,England,East of England,83072,60911,Hold,37629,12663,8528,,,2091,,,,,,,,,,,,,
Salford & Eccles,England,North West,78080,47619,Hold,12036,31168,1286,,,2320,809,,,,,,,,,,,,
Salisbury,England,South West,72892,53311,Hold,30952,13619,5982,,,1191,1152,415,,,,,,,,,,,
Scarborough & Whitby,England,Yorkshire & Humber,73599,50449,Hold,24401,20966,1354,,,1682,915,680,451,,,,,,,,,,
Scunthorpe,England,Yorkshire & Humber,61578,40229,Hold,17485,20916,554,,,1274,,,,,,,,,,,,,
Sedgefield,England,North East,63889,41591,Hold,16143,22202,797,,,1763,686,,,,,,,,,,,,
Sefton Central,England,North West,69019,52079,Hold,17212,32830,1381,,,,656,,,,,,,,,,,,
Selby & Ainsty,England,Yorkshire & Humber,75918,56076,Hold,32921,19149,2293,,,1713,,,,,,,,,,,,,
Sevenoaks,England,South East,71565,51218,Hold,32644,10727,4280,,,1894,1673,,,,,,,,,,,,
Sheffield Central,England,Yorkshire & Humber,77560,47877,Hold,6215,33963,2465,,,1060,3848,,326,,,,,,,,,,
Sheffield South East,England,Yorkshire & Humber,68945,43596,Hold,13722,25520,1432,,,2820,,,102,,,,,,,,,,
"Sheffield, Brightside & Hillsborough",England,Yorkshire & Humber,70344,41870,Hold,9050,28193,1061,,,2645,737,,184,,,,,,,,,,
"Sheffield, Hallam",England,Yorkshire & Humber,73455,56970,Gain,13561,21881,19706,,,929,823,70,,,,,,,,,,,
"Sheffield, Heeley",England,Yorkshire & Humber,68040,44226,Hold,26524,12696,2022,,,1977,943,,64,,,,,,,,,,
Sherwood,England,East Midlands,76196,53364,Hold,27492,22294,1113,,,1801,664,,,,,,,,,,,,
Shipley,England,Yorkshire & Humber,73133,53395,Hold,27417,22736,2202,,,,,,1040,,,,,,,,,,
Shrewsbury & Atcham,England,West Midlands,79043,58203,Hold,29073,22446,4254,,,1363,1067,,,,,,,,,,,,
Sittingbourne & Sheppey,England,South East,81717,51389,Hold,30911,15700,1392,,,,558,2133,695,,,,,,,,,,
Skipton & Ripon,England,Yorkshire & Humber,78104,58138,Hold,36425,16440,,,,,3734,1539,,,,,,,,,,,
Sleaford & North Hykeham,England,East Midlands,90929,65797,Hold,42245,17008,2722,,,1954,968,900,,,,,,,,,,,
Slough,England,South East,83272,55603,Hold,17172,34170,1308,,,1228,1308,417,,,,,,,,,,,
Solihull,England,West Midlands,77789,56748,Hold,32985,12414,8901,,,1291,1157,,,,,,,,,,,,
Somerton & Frome,England,South West,84437,63592,Hold,36231,10998,13325,,,,2047,991,,,,,,,,,,,
South Antrim,Northern Ireland,Northern Ireland,68244,43170,,,,,,,,,,,16508,7797,3203,2362,13300,,,,,
South Basildon & East Thurrock,England,East of England,73537,47198,Hold,26889,15321,732,,,3193,680,,383,,,,,,,,,,
South Cambridgeshire,England,East of England,85257,64924,Hold,33631,17679,12102,,,,1512,,,,,,,,,,,,
South Derbyshire,England,East Midlands,76380,52631,Hold,30907,18937,1870,,,,917,,,,,,,,,,,,
South Dorset,England,South West,72323,51906,Hold,29135,17440,3053,,,,2278,,,,,,,,,,,,
South Down,Northern Ireland,Northern Ireland,75685,50893,,,,,,,,,,,8867,20328,1814,17882,2002,,,,,
South East Cambridgeshire,England,East of England,86121,63002,Hold,33601,17443,11958,,,,,,,,,,,,,,,,
