Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,Anti-Corruption Forum,Asian League,British National,Chairman of Sunrise Radio,Christian Democratic,Christian Peoples' Alliance,Church of the Militant Elvis,Communist of Britain,Community Candidate Empowering Change,Conservative,Countryside,Defend The Welfare State Against Blairism,Democratic Unionist,Direct Customer Service,Extinction Club,Fancy Dress,Free,Green,Grey,Independent,Independent Socialist,Independent Vote For Yourself,Isle of Wight,Jam Wrestling,John Lillburne Democratic,Justice,Kidderminster Hospital and Health Concern,Labour,Left Alliance,Legalise Cannabis Alliance,Liberal,Liberal Democrat,Liberated,Low Excise Duty,Marxist,Mebyon Kernow,Monster Raving Loony,Muslim,National Front,New Britain,New Millennium Bean,Northern Ireland Unionist,"Pacifist for Peace, Justice, Cooperation, Environment",Pathfinders,Pensioner Coalition,People's Choice,People's Justice,Plaid Cymru,Pro-Euro Conservative,Progress Democratic Members Decide Policy,Progressive Unionist,ProLife Alliance,Qari,Rate Payers,Reform 2000,Reform UK,Residents and Motorists of Great Britain,Rock 'n' Roll Loony,Scottish Freedom Referendum,Scottish National,Scottish Socialist,Scottish Unionist,Sinn Fein,Social Democratic and Labour,Socialist,Socialist Alliance,Socialist Alternative,Socialist Labour,Stuckist,Tatton Group Independent,The Speaker,Third Way,Truth,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Unrepresented People's,Wessex Regionalists,Women For Life On Earth,Women's Coalition (NI),Workers',Workers' Revolutionary
,Brentford and Isleworth,,2001,84049,44514,,,,,,,,,,,12957,,,,,,,,1324,,144,,,,,,,,23275,,,,5994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,,,,,,,,,412,,,,,,,
,Brentwood and Ongar,,2001,64695,43542,,,,,,,,68,,,16558,,,,,,,,,,13737,,,,,,,,5505,,,,6772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,,,,,,,
,Bridgend,,2001,61496,37004,,,,,,,,,,,9377,,,,,,,,,,,,,,,,,,19422,,,,5330,,,,,,,,,,,,,,,,2652,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bridgwater,,2001,74079,47847,,,,,,,,,,,19354,,,,,,,,,,,,,,,,,,12803,,,,14367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323,,,,,,,
,Brigg and Goole,,2001,63536,41054,,,,,,,,,,,16105,,,,,,,,,,,,,,,,,,20066,,,,3796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,,,,,,,688,,,,,,,
,Brighton Kemptown,,2001,67621,39203,,,,,,,,,,,13823,,,,,,,227,1290,,,,,,,,,,18745,,,,4064,,,,,,,,,,,,,,,,,,,,147,,,,,,,,,,,,,,,,364,,,,,,,543,,,,,,,
,Brighton Pavilion,,2001,69200,40723,,,,,,,,,,,10203,,,,,,,409,3806,,,,,,,,,,19846,,,,5348,,,,,,,,,,,,,,,,,,,,177,,,,,,,,,,,,,,,,573,,,,,,,361,,,,,,,
,Bristol East,,2001,70279,40334,,,,,,,,,,,8788,,,,,,,,1110,,,,,,,,,,22180,,,,6915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,,438,,,,,,,572,,,,,,,
,Bristol North West,,2001,76756,46692,,,,,,,,,,,13349,,,,,,,,,,,,,,,,,,24436,,,,7387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,1149,,,,,,,
,Bristol South,,2001,72490,40970,,,,,,,,,,,9118,,,,,,,,1233,,,,,,,,,,23299,,,,6078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,496,,250,,,,,,,496,,,,,,,
,Bristol West,,2001,84821,55665,,,,,,,,,,,16040,,,,,,,,1961,,,,,,,,,,20505,,,,16079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,,,,,,,490,,,,,,,
,Bromley and Chislehurst,,2001,68763,43231,,,,,,,,,,,21412,,,,,,,,,,,,,,,,,,12375,,,,8180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264,,,,,,,
,Bromsgrove,,2001,68115,45684,,,,,,,,,,,23640,,,,,,,,,,,,,,,,,,15502,,,,5430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112,,,,,,,
,Broxbourne,,2001,68982,37845,,,,848,,,,,,,20487,,,,,,,,,,,,,,,,,,11494,,,,4158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,858,,,,,,,
,Broxtowe,,2001,73675,49004,,,,,,,,,,,17963,,,,,,,,,,,,,,,,,,23836,,,,7205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Buckingham,,2001,65270,45272,,,,,,,,,,,24296,,,,,,,,,,,,,,,,,,10971,,,,9037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968,,,,,,,
,Burnley,,2001,66393,36884,,,,4151,,,,,,,7697,,,,,,,,,,,,,,,,,,18195,,,,5975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,866,,,,,,,
,Burton,,2001,75194,46457,,,,,,,,,,,17934,,,,,,,,,,,,,,,,,,22783,,,,4468,,,,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,,,,,,984,,,,,,,
,Bury North,,2001,71108,44788,,,,,,,,,,,16413,,,,,,,,,,,,,,,,,,22945,,,,5430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bury South,,2001,67276,39539,,,,,,,,,,,10634,,,,,,,,,,,,,,,,,,23406,,,,5499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Bury St. Edmunds,,2001,76146,50257,,,,,,,,,,,21850,,,,,,,,,,651,,,,,,,,19347,,,,6998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,831,,,,,,,
,Caernarfon,,2001,47354,29053,,,,,,,,,,,4403,,,,,,,,,,,,,,,,,,9383,,,,1823,,,,,,,,,,,,,,,,12894,,,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,
,Caerphilly,,2001,67593,38831,,,,,,,,,,,4413,,,,,,,,,,,,,,,,,,22597,,,,3649,,,,,,,,,,,,,,,,8172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Caithness, Sutherland and Easter Ross",,2001,41225,24867,,,,,,,,,,,3513,,,,,,,,,,199,,,,,,,,6297,,,,9041,,,,,,,,,,,,,,,,,,,,,,,,,,,,5273,544,,,,,,,,,,,,,,,,,,,,,
,Calder Valley,,2001,75298,47425,,,,,,,,,,,17150,,,,,,,,1034,,,,,,,,,,20244,,672,,7596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729,,,,,,,
,Camberwell and Peckham,,2001,53694,25104,,,,,,,,,,,2740,,,,,,,,805,,,,,,,,,,17473,,,,3350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,188,,,,,,,,,,,,,,70
,Cambridge,,2001,70663,42836,,,,,,,,,,,9829,,,,,,,,1413,,,,,,,,,,19316,,,,10737,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,,,,716,,,,,,,,,532,,,,,,,61
,Cambridgeshire North East,,2001,79891,48051,,,,,,,,,,,23132,,,,,,,,,,,,,,,,,,16759,,,,6733,,,,,,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,,,,,,,1189,,,,,,,
,Cambridgeshire North West,,2001,70569,43956,,,,,,,,,,,21895,,,,,,,,,,429,,,,,,,,13794,,,,6957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881,,,,,,,
,Cambridgeshire South,,2001,72095,48341,,,,,,,,,,,21387,,,,,,,,1182,,,,,,,,,,11737,,,,12984,,,,,,,,,,,,,,,,,,,,176,,,,,,,,,,,,,,,,,,,,,,,875,,,,,,,
,Cambridgeshire South East,,2001,81663,51886,,,,,,,,,,,22927,,,,,,,,,,,,,,,,,,13714,,,,13937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308,,,,,,,
,Cannock Chase,,2001,73423,41064,,,,,,,,,,,12345,,,,,,,,,,,,,,,,,,23049,,,,5670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Canterbury,,2001,74159,45132,,,,,,,,,,,18711,,,,,,,,920,,,,,,,,,,16642,,,,8056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,803,,,,,,,
,Cardiff Central,,2001,59785,34842,,,,,,,,,,,5537,,,,,,,,661,,,,,,,,,,13451,,,,12792,,,,,,,,,,,,,,,,1680,,,,217,,,,,,,,,,,,,,283,,,,,,,,,221,,,,,,,
,Cardiff North,,2001,62634,43240,,,,,,,,,,,13680,,,,,,,,,,,,,,,,,,19845,,,,6631,,,,,,,,,,,,,,,,2471,,,,,,,,,,,,,,,,,,,,,,,,,,,613,,,,,,,
,Cardiff South and Penarth,,2001,62125,35751,,,,,,,,,,,7807,,,,,,,,,,,,,,,,,,20094,,,,4572,,,,,,,,,,,,,,,,1983,,,,367,,,,,,,,,,,,,,427,,,,,,,,,501,,,,,,,
,Cardiff West,,2001,58348,34083,,,,,,,,,,,7273,,,,,,,,,,,,,,,,,,18594,,,,4458,,,,,,,,,,,,,,,,3296,,,,,,,,,,,,,,,,,,,,,,,,,,,462,,,,,,,
,Carlisle,,2001,58811,34909,,,,,,,,,,,12154,,,,,,,,,,,,,,,,,,17856,,554,,4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269,,,,,,,,,,,,,,,,
,Carmarthen East and Dinefwr,,2001,54035,38053,,,,,,,,,,,4912,,,,,,,,,,,,,,,,,,13540,,,,2815,,,,,,,,,,,,,,,,16130,,,,,,,,,,,,,,,,,,,,,,,,,,,656,,,,,,,
,Carmarthen West and Pembrokeshire South,,2001,56518,36916,,,,,,,,,,,10811,,,,78,,,,,,,,,,,,,,15349,,,,3248,,,,,,,,,,,,,,,,6893,,,,,,,,,,,,,,,,,,,,,,,,,,,537,,,,,,,
,"Carrick, Cumnock and Doon Valley",,2001,64919,40107,,,,,,,,,,,7318,,,,,,,,,,,,,,,,,,22174,,,,2932,,,,,,,,,,,,,,,,,,,,,,,,,,,,6258,1058,,,,,,,367,,,,,,,,,,,,,,
,Carshalton and Wallington,,2001,67337,40612,,,,,,,,,,,13742,,,,,,,,614,,,,,,,,,,7466,,,,18289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,,,,,,,
,Castle Point,,2001,68108,39763,,,,,,,,,,,17738,,,,,,,,,,663,,,,,,,,16753,,,,3116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,1273,,,,,,,
,Ceredigion Gogledd Penfro,,2001,56118,34606,,,,,,,,,,,6730,,,,,,,,,,,,,,,,,,5338,,,,9297,,,,,,,,,,,,,,,,13241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Charnwood,,2001,74836,48265,,,,,,,,,,,23283,,,,,,,,,,,,,,,,,,15544,,,,7835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1603,,,,,,,
,Chatham and Aylesford,,2001,69759,39735,,,,,,,,,,,14840,,,,,,,,,,,,,,,,,,19180,,,,4705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,,,,,,,
,Cheadle,,2001,69002,43606,,,,,,,,,,,18444,,,,,,,,,,,,,,,,,,6086,,,,18477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,,,,,,,
,Chelmsford,,2001,78291,48143,,,,,,,,,,,20446,,,,,,,,837,,,,,,,,,,14185,,693,,11197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785,,,,,,,
,Cheltenham,,2001,67563,41835,,,,,,,,,,,14715,,,,,,,,735,,107,,,,,,,,5041,,,,19970,,,,,513,,,,,,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,482,,,,,,,
,Chesham and Amersham,,2001,70021,45283,,,,,,,,,,,22867,,,,,,,,1114,,,,,,,,,,8497,,,,10985,,,,,,,,,,,,,,,,,,,,453,,,,,,,,,,,,,,,,,,,,,,,1367,,,,,,,
,"Chester, City of",,2001,70382,44877,,,,,,,,,,,14866,,,,,,,,,,763,,,,,,,,21760,,,,6589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,899,,,,,,,
,Chesterfield,,2001,73252,44441,,,,,,,,,,,3613,,,,,,,,,,184,,,,,,,,18663,,,,21249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437,,295,,,,,,,,,,,,,,
,Chichester,,2001,77703,49512,,,,,,,,,,,23320,,,,,,,,1292,,,,,,,,,,10627,,,,11965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308,,,,,,,
,Chingford and Woodford Green,,2001,63252,36982,,,,1062,,,,,,,17834,,,,,,,,,,,,,,,,,,12347,,,,5739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chipping Barnet,,2001,70217,42456,,,,,,,,,,,19702,,,,,,,,,,,,,,,,,,17001,,,,5753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chorley,,2001,77036,47952,,,,,,,,,,,16644,,,,,,,,,,,,,,,,,,25088,,,,5372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,848,,,,,,,
,Christchurch,,2001,73503,49567,,,,,,,,,,,27306,,,,,,,,,,,,,,,,,,7506,,,,13762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993,,,,,,,
,Cities of London and Westminster,,2001,71935,33975,,,,,,,,,,,15737,,,,,,,,1318,,,,,,,,,,11238,,,,5218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464,,,,,,,
,Cleethorpes,,2001,68392,42418,,,,,,,,,,,15412,,,,,,,,,,,,,,,,,,21032,,,,5080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,894,,,,,,,
,Clwyd South,,2001,53680,33496,,,,,,,,,,,8319,,,,,,,,,,,,,,,,,,17217,,,,3426,,,,,,,,,,,,,,,,3982,,,,,,,,,,,,,,,,,,,,,,,,,,,552,,,,,,,
,Clwyd West,,2001,53960,34600,,,,,,,,,,,12311,,,,,,,,,,,,,,,,,,13426,,,,3934,,,,,,,,,,,,,,,,4453,,,,,,,,,,,,,,,,,,,,,,,,,,,476,,,,,,,
,Clydebank and Milngavie,,2001,52534,32491,,,,,,,,,,,3514,,,,,,,,,,,,,,,,,,17249,,,,3909,,,,,,,,,,,,,,,,,,,,,,,,,,,,6525,1294,,,,,,,,,,,,,,,,,,,,,
,Clydesdale,,2001,64423,38222,,,,,,,,,,,5034,,,,,,,,,,,,,,,,,,17822,,,,4111,,,,,,,,,,,,,,,,,,,,,,,,,,,,10028,974,,,,,,,,,,,,,,253,,,,,,,
,Coatbridge and Chryston,,2001,52178,30311,,,,,,,,,,,2171,,,,,,,,,,,,,,,,,,19807,,,,2293,,,,,,,,,,,,,,,,,,,,,,,,,,,,4493,1547,,,,,,,,,,,,,,,,,,,,,
,Colchester,,2001,78955,43736,,,,,,,,,,,13074,,,,,,,,,479,,,,,,,,,10925,,,,18627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631,,,,,,,
,Colne Valley,,2001,74192,46987,,,,,,,,,,,14328,,,,,,,,1081,,,,,,,,,,18967,,,,11694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,917,,,,,,,
,Congleton,,2001,71941,45083,,,,,,,,,,,20872,,,,,,,,,,,,,,,,,,13738,,,,9719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,754,,,,,,,
,Conwy,,2001,54751,34366,,,,,,,,,,,8147,,,,,,,,,,,,,,,,,,14366,,,,5800,,,,,,,,,,,,,,,,5665,,,,,,,,,,,,,,,,,,,,,,,,,,,388,,,,,,,
,Copeland,,2001,53526,34750,,,,,,,,,,,13027,,,,,,,,,,,,,,,,,,17991,,,,3732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corby,,2001,72304,47222,,,,,,,,,,,17583,,,,,,,,,,,,,,,,,,23283,,,,4751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,,,,,,,855,,,,,,,
,Cornwall North,,2001,84662,53983,,,,,,,,,,,18250,,,,,,,,,,,,,,,,,,5257,,,,28082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2394,,,,,,,
,Cornwall South East,,2001,79090,51753,,,,,,,,,,,18381,,,,,,,,,,,,,,,,,,6429,,,,23756,,,,1209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1978,,,,,,,
,Cotswold,,2001,68154,45981,,,,,,,,,,,23133,,,,,,,,,,,,,,,,,,10383,,,,11150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,,,,,,,
,Coventry North East,,2001,73998,37265,,,,737,,,,,,,6988,,,,,,,,,,,,,,,,,,22739,,,,4163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2638,,,,,,,,,,,,,,,,
,Coventry North West,,2001,76652,42551,,,,,,,,,,,11018,,,,,,,,,,3159,,,,,,,,21892,,,,5832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,,,,,,,
,Coventry South,,2001,72527,40096,,,,,,,,,,,11846,,,,,,,,,,564,,,,,,,,20125,,,,5672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,,414,,,,,,,,,,,,,,
,Crawley,,2001,71626,39522,,,,,,,,,,,12718,,,,,,,,,,,,,,,,271,,19488,,,,5009,,,,,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251,,260,,,,,,,1137,,,,,,,
,Crewe and Nantwich,,2001,69040,41547,,,,,,,,,,,12650,,,,,,,,,,,,,,,,,,22556,,,,5595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746,,,,,,,
,Crosby,,2001,57375,36866,,,,,,,,,,,11974,,,,,,,,,,,,,,,,,,20327,,,,4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,481,,,,,,,,,,,,,,
,Croydon Central,,2001,77567,45860,,,,449,,,,,,,17659,,,,,,,,,,,,,,,,,,21643,,,,5156,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545,,,,,,,
,Croydon North,,2001,76600,41882,,,,,,,,,,,9752,,,,,,,,,,,,,,,,,,26610,,,,4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,,,,,,,,,606,,,,,,,
,Croydon South,,2001,73402,45060,,,,,,,,,,,22169,,,,,,,,,,,,,,,,,,13472,,,,8226,,,,,,,,,,,,,,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998,,,,,,,
,Cumbernauld and Kilsyth,,2001,49739,29699,,,,,,,,,,,1460,,,,,,,,,,,,,,,,,,16144,,,,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,250,8624,1287,,,,,,,,,,,,,,,,,,,,,
,Cunninghame North,,2001,54993,33816,,,,,,,,,,,6666,,,,,,,,,,,,,,,,,,15571,,,,3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,7173,964,,,,,,,382,,,,,,,,,,,,,,
,Cunninghame South,,2001,49982,28009,,,,,,,,,,,2682,,,,,,,,,,,,,,,,,,16424,,,,2094,,,,,,,,,,,,,,,,,,,,,,,,,,,,5194,1233,,,,,,,382,,,,,,,,,,,,,,
,Cynon Valley,,2001,48591,26958,,,,,,,,,,,2045,,,,,,,,,,,,,,,,,,17685,,,,2541,,,,,,,,,,,,,,,,4687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dagenham,,2001,59340,27580,,,,1378,,,,,,,7091,,,,,,,,,,,,,,,,,,15784,,,,2820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,,245,,,,,,,,,,,,,,
,Darlington,,2001,64328,40754,,,,,,,,,,,12950,,,,,,,,,,269,,,,,,,,22479,,,,4358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469,,229,,,,,,,,,,,,,,
,Dartford,,2001,72258,44740,,,,,,,,,,,18160,,,,,,344,,,,,,,,,,,,21466,,,,3781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989,,,,,,,
,Daventry,,2001,86537,56684,,,,,,,,,,,27911,,,,,,,,,,,,,,,,,,18262,,,,9130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1381,,,,,,,
,Delyn,,2001,54732,34636,,,,,,,,,,,9220,,,,,,,,,,,,,,,,,,17825,,,,5329,,,,,,,,,,,,,,,,2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Denton and Reddish,,2001,69236,33593,,,,,,,,,,,6583,,,,,,,,,,,,,,,,,,21913,,,,4152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945,,,,,,,
,Derby North,,2001,76489,44054,,,,,,,,,,,15433,,,,,,,,,,,,,,,,,,22415,,,,6206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Derby South,,2001,77366,43075,,,,,,,,,,,10455,,,,,,,,,,,,,,,,,,24310,,,,8310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Derbyshire North East,,2001,71527,42124,,,,,,,,,,,11179,,,,,,,,,,,,,,,,,,23437,,,,7508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Derbyshire South,,2001,81010,51945,,,,,,,,,,,18487,,,,,,,,,,249,,,,,,,,26338,,,,5233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,564,,,,,,,1074,,,,,,,
,Derbyshire West,,2001,75067,50589,,,,,,,,,,,24280,,,,,,,,,,333,,,,,,,,16910,,,,7922,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,672,,,,,,,
,Devizes,,2001,83655,53249,,,,,,,,,,,25159,,,,,,,,,,1078,,,,,,,,13263,,,,11756,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521,,,,,,,
,Devon East,,2001,70278,47837,,,,,,,,,,,22681,,,,,,,,,,,,,,,,,,7974,,,,14486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2696,,,,,,,
,Devon North,,2001,72100,49254,,,,,,,,,,,18800,,,,,,,,1191,,,,,,,,,,4995,,,,21784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2484,,,,,,,
,Devon South West,,2001,70922,46904,,,,,,,,,,,21970,,,,,,,,,,,,,,,,,,14826,,,,8616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1492,,,,,,,
,Devon West and Torridge,,2001,78976,55684,,,,,,,,,,,22280,,,,,,,,1297,,,,,,,,,,5959,,,,23474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674,,,,,,,
,Dewsbury,,2001,62344,36651,,,,1632,,,,,,,11075,,,,,,,,560,,,,,,,,,,18524,,,,4382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,,,,,,
,Don Valley,,2001,66244,36630,,,,,,,,,,,10489,,,,,,,,,,800,,,,,,,,20009,,,,4089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,466,,,,,,,777,,,,,,,
,Doncaster Central,,2001,65087,33902,,,,,,,,,,,8035,,,,,,,,,,,,,,,,,,20034,,,,4390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,517,,,,,,,,,926,,,,,,,
,Doncaster North,,2001,62124,31363,,,,,,,,,,,4601,,,,,,,,,,2926,,,,,,,,19788,,,,3323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725,,,,,,,
,Dorset Mid and Poole North,,2001,66675,43718,,,,,,,,,,,17974,,,,,,,,,,,,,,,,,,6765,,,,18358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,621,,,,,,,
,Dorset North,,2001,72140,47821,,,,,,,,,,,22314,,,,,,,,,,246,,,,,,,,5334,,,,18517,,391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019,,,,,,,
,Dorset South,,2001,69233,45345,,,,,,,,,,,18874,,,,,,,,,,,,,,,,,,19027,,,,6531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913,,,,,,,
,Dorset West,,2001,74016,49571,,,,,,,,,,,22126,,,,,,,,,,,,,,,,,,6733,,,,20712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dover,,2001,69025,44960,,,,,,,,,,,16744,,,,,,,,,,,,,,,,,,21943,,,,5131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1142,,,,,,,
,Down North,,2001,63212,37189,,,,,,,,,,,815,,,,,,,,,,444,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,1275,,,,,,,,,,20833,,13509,,,,,,
,Down South,,2001,73519,52074,685,,,,,,,,,,,,,7802,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10278,24136,,,,,,,,,,9173,,,,,,,,
,Dudley North,,2001,68964,38564,,,,1822,,,,,,,13295,,,,,,,,,,,,,,,,,,20095,,,,3352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dudley South,,2001,65578,36344,,,,,,,,,,,11292,,,,,,,,,,,,,,,,,,18109,,,,5421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,663,,,,,,,,,859,,,,,,,
,Dulwich and West Norwood,,2001,70497,38247,,,,,,,,,,,8689,,,,,,,,1914,,,,,,,,,,20999,,,,5806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,839,,,,,,,,,,,,,,,,
,Dumbarton,,2001,56267,33994,,,,,,,,,,,4648,,,,,,,,,,,,,,,,,,16151,,,,5265,,,,,,,,,,,,,,,,,,,,,,,,,,,,6576,1354,,,,,,,,,,,,,,,,,,,,,
,Dumfries,,2001,62931,42586,,,,,,,,,,,11996,,,,,,,,,,,,,,,,,,20830,,,,4955,,,,,,,,,,,,,,,,,,,,,,,,,,,,4103,702,,,,,,,,,,,,,,,,,,,,,
,Dundee East,,2001,56535,32358,,,,,,,,,,,3900,,,,,,,,,,,,,,,,,,14635,,,,2784,,,,,,,,,,,,,,,,,,,,,,,,,,,,10160,879,,,,,,,,,,,,,,,,,,,,,
