Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Liberal,Conservative,Plaid Cymru,Social Democratic,Scottish National,Ulster Unionist,Alliance,The Workers' (NI),Democratic Unionist,Social Democratic and Labour,Sinn Fein,Green,Moderate Labour,Workers' Revolutionary,Independent,Independent Ulster Democratic Unionist,Communist of Great Britain,Independent Conservative,Red Front,Independent Labour,Independent NFFG,Independent Liberal,Ulster Popular Unionist,Independent Ulster Unionist,Monster Raving Loony,Fellowship,Humanist,Rainbow Alliance,Independent Green,Socialist of Great Britain,Northern Ireland Ecology,Independent Democrat,Orkney and Shetland Movement,British National,Independent CS,Speaker
,Bexleyheath,,1987,59448,46263,8218,13179,24866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Billericay,,1987,79535,61408,11942,,33741,,15725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birkenhead,,1987,65662,47489,27883,7095,12511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Edgbaston,,1987,54416,37318,10014,,18595,,7843,,,,,,,,559,,,,,,307,,,,,,,,,,,,,,,,,,
,Birmingham Erdington,,1987,54179,37137,17037,,14570,,5530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Hall Green,,1987,61148,45658,12857,,20478,,12323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Hodge Hill,,1987,59296,40823,19872,5868,15083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Ladywood,,1987,58761,38096,21971,,11943,,3532,,,,,,,,650,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Northfield,,1987,73319,53232,20889,,24024,,8319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Perry Barr,,1987,73767,51369,25894,6514,18961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Selly Oak,,1987,72213,52765,20721,8128,23305,,,,,,,,,,611,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Sparkbrook,,1987,53093,33725,20513,,8654,,3803,,,,,,,,526,,,,,,,229,,,,,,,,,,,,,,,,,
,Birmingham Yardley,,1987,56957,42074,15409,8734,17931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birminghan Small Heath,,1987,56722,34366,22787,3600,7266,,,,,,,,,,559,,,,,154,,,,,,,,,,,,,,,,,,,
,Bishop Auckland,,1987,72147,53456,25648,9195,18613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blaby,,1987,77094,62334,9046,15556,37732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blackburn,,1987,74801,56035,27965,,22468,,5602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
