Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Labour,Conservative,Liberal Democrat,Plaid Cymru,Independent,Scottish National,Liberal,Natural Law,Green,Ulster Unionist,Democratic Unionist,Alliance,Social Democratic and Labour,Sinn.Fein,Raving Loony Green Giant,Anti-Federalist League,Independent Conservative,Independent Ulster Unionist,The Workers' (NI),New Alliance of Great Britain,Labour and Trade Union,British National,Communist of Great Britain,National Front,Revolutionary Communist,Monster Raving Loony,Plaid Cymru/Green,Independent Labour,Islamic of Britain,Independent Ind SD,Irish Freedom Movement,Social Democratic,Workers' Revolutionary,Ulster Popular Unionist,Independent Green,Independent Democrat,Independent Socialist,Scottish Militant Labour,International Communist,Twenty First Century,Fellowship,Independent Nationalist,Rainbow Alliance,Socialist of Great Britain,Communist League,Corrective,Independent Liberal Democrat,Social Democrat,Speaker
,Makerfield,,1992,71426,54349,32832,14714,5097,,,,1309,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Blackley,,1992,55235,38285,23031,10642,4324,,,,,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Central,,1992,56447,32120,23336,5299,3151,,,,,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,
,Manchester Gorton,,1992,62410,37974,23671,7392,5327,,,,767,84,595,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,30,,,,,,,,,,
,Manchester Withington,,1992,63838,45499,23962,14227,6457,,,,,128,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Wythenshawe,,1992,53549,37314,22591,10595,3633,,,,,133,362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mansfield,,1992,66965,55065,29932,18208,6925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Medway,,1992,61737,49527,17138,25924,4751,,,,1480,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meirionnydd Nant Conwy,,1992,32413,26410,4978,6995,2358,11608,,,,,471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meriden,,1992,77009,60714,18763,33462,8489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merthyr Tydfil and Rhymney,,1992,58430,44315,31710,4904,4997,2704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Middlesbrough,,1992,58852,41103,26343,10559,4201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midlothian,,1992,60311,46925,20588,9443,6164,,,10254,,,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes North East,,1992,63545,50798,12036,26212,11693,,,,,79,529,,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Milton Keynes South West,,1992,67365,51149,19153,23840,7429,,,,,202,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mitcham and Morden,,1992,63752,51186,22055,23789,4687,,,,,,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mole Valley,,1992,66963,54881,5291,32549,16599,,,,,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monklands East,,1992,48430,36329,22266,5830,1679,,,6554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monklands West,,1992,49300,38159,23384,6074,2382,,,6319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Monmouth,,1992,59148,50907,20855,24059,5562,,,,,,,,,,,,,,,,,,,,,,,,431,,,,,,,,,,,,,,,,,,,,,,
,Montgomery,,1992,41386,33057,4115,10822,16031,1581,,,,,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moray,,1992,62605,45836,5448,17455,2634,,,20299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Morecambe and Lunesdale,,1992,56432,44210,10998,22507,9584,,916,,,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motherwell North,,1992,57140,43950,27852,5011,2145,,,8942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motherwell South,,1992,50086,38121,21771,6097,2349,,,7758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,
,Neath,,1992,56355,45443,30903,6928,2467,5145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,New Forest,,1992,75413,60906,4989,37986,17581,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newark,,1992,68802,56536,20265,28494,7342,,,,,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newbury,,1992,80254,66414,3962,37135,24778,,,,,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newcastle upon Tyne Central,,1992,66595,42774,21123,15835,5816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newcastle upon Tyne East,,1992,59973,40434,24342,10465,4883,,,,,,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newcastle upon Tyne North,,1992,57165,50838,25121,16175,9542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newcastle-under-Lyme,,1992,66187,53506,25652,15813,11727,,,,,314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newham North East,,1992,59610,35938,20952,10966,4020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newham North West,,1992,46475,26035,15911,6740,2445,,,,,,587,,,,,,252,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,
,Newham South,,1992,51110,30786,14358,11856,4572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newport East,,1992,51602,41908,23050,13151,4991,,,,,,,,,,,,,,,,,,,,,,,,716,,,,,,,,,,,,,,,,,,,,,,
,Newport West,,1992,54872,45448,24139,16360,4296,,,,,,,,,,,,,,,,,,,,,,,,653,,,,,,,,,,,,,,,,,,,,,,
,Newry and Armagh,,1992,67531,52574,0,,,,,,,,,18982,,972,26073,6547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norfolk Mid,,1992,80525,65590,16672,35620,13072,,,,,226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norfolk North,,1992,73780,59751,13850,28810,16365,,,,,167,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norfolk North West,,1992,77439,62473,20990,32554,8599,,,,,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norfolk South,,1992,81647,68613,12422,36081,18516,,340,,,320,702,,,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norfolk South West,,1992,77652,61580,16706,33637,11237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Normanton,,1992,65587,50059,25936,16986,7137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Northampton North,,1992,69140,54290,20957,24865,8236,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Northampton South,,1992,83476,66703,19909,36882,9912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Northavon,,1992,83348,70274,10290,35338,23477,,,,380,,789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norwich North,,1992,63309,51804,22153,22419,6706,,,,,93,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norwich South,,1992,63604,51265,24965,18784,6609,,,,,104,803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Norwood,,1992,52290,34581,18391,11175,4087,,,,,138,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nottingham East,,1992,67939,47615,25026,17346,3695,,,,598,283,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nottingham North,,1992,69495,52112,29052,18309,4477,,,,,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nottingham South,,1992,72796,54032,25771,22590,5408,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nuneaton,,1992,70907,59354,27157,25526,6671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ogmore,,1992,52196,42080,30186,6359,2868,2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Old Bexley and Sidcup,,1992,49449,40520,8751,24450,6438,,,,,148,,,,,,,,,733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oldham Central and Royton,,1992,61360,45513,23246,14640,7224,,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oldham West,,1992,54075,40903,21580,13247,5525,,,,,551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orkney and Shetland,,1992,31472,20626,4093,4542,9575,,,2301,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orpington,,1992,57352,47958,5512,27421,14486,,,,539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oxford East,,1992,63078,47053,23702,16164,6105,,,,,101,933,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,
,Oxford West and Abingdon,,1992,72328,55466,7652,25163,21624,,,,194,75,660,,,,,,,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paisley North,,1992,46424,34065,17269,5576,2779,,,7948,,81,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paisley South,,1992,47919,35922,18202,5703,3271,,,8653,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peckham,,1992,58320,31394,19391,7386,4331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146,,,,,,,,,,,,,140,,,
,Pembroke,,1992,73187,60645,26253,25498,6625,1627,,,,,484,,,,,,,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pendle,,1992,64066,53120,23497,21384,7976,,,,,,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Penrith and The Border,,1992,73770,58777,8871,33808,15359,,,,,129,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Perth and Kinross,,1992,65410,50277,6267,20195,5714,,,18101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Peterborough,,1992,87639,65840,26451,31827,5208,,,,1557,215,,,,,,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,271,,
,Plymouth Devonport,,1992,65800,51216,24953,17541,6315,,,,,255,,,,,,,,,,,,,,,,,,,,,,2152,,,,,,,,,,,,,,,,,,,
,Plymouth Drake,,1992,51667,39042,15062,17075,5893,,,,,95,441,,,,,,,,,,,,,,,,,,,,,476,,,,,,,,,,,,,,,,,,,
,Plymouth Sutton,,1992,67430,54737,15120,27070,12291,,,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pontefract and Castleford,,1992,64655,48007,33546,10051,4410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pontypridd,,1992,61685,48890,29722,9925,4180,4448,,,,,615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Poole,,1992,79223,62894,6912,33445,20614,,,,,303,,,,,,,,,1620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portsmouth North,,1992,79592,61328,18359,32240,10101,,,,,,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Portsmouth South,,1992,77648,53651,7857,22798,22556,,,,,91,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Preston,,1992,64159,46029,24983,12808,7897,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pudsey,,1992,70996,57381,16695,25067,15153,,,,,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Putney,,1992,61915,48243,17662,25188,4636,,,,,139,618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ravensbourne,,1992,57285,46520,6182,29506,9792,,,,318,105,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reading East,,1992,72152,54130,14593,29148,9528,,,,,,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reading West,,1992,67938,52983,14750,28048,9572,,,,,,613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Redcar,,1992,62494,48580,27184,15607,5789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Reigate,,1992,71876,56449,9150,32220,14566,,,,,,,,,,,,,,,,,,,,,,,,,,,513,,,,,,,,,,,,,,,,,,,
,Renfrew West and Inverclyde,,1992,58164,46691,17085,15341,4668,,,9448,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rhondda,,1992,59955,45934,34243,3588,2431,5427,,,,,,,,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ribble Valley,,1992,65552,55727,3649,29178,22636,,,,,112,,,,,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Richmond (Yorkshire),,1992,82880,64993,7523,40202,16698,,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Richmond and Barnes,,1992,53138,45125,2632,22894,19025,,62,,,89,376,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rochdale,,1992,69522,53170,20937,8626,22776,,,,,211,,,,,,,,,,,,,,620,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rochford,,1992,76869,63797,10537,38967,12931,,,,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Romford,,1992,53981,42123,12414,23834,5329,,,,,,546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Romsey and Waterside,,1992,82628,68711,8688,37375,22071,,,,,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ross, Skye and Inverness West",,1992,55771,41037,6275,9436,17066,,,7618,,,642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rossendale and Darwen,,1992,76926,63883,28028,27908,7226,,,,,125,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rother Valley,,1992,68304,51215,30977,13755,6483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rotherham,,1992,60937,43680,27933,10372,5375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roxburgh and Berwickshire,,1992,43572,33793,2909,11595,15852,,,3437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rugby and Kenilworth,,1992,77767,65108,20862,34110,9934,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ruislip-Northwood,,1992,54033,44356,8306,28097,7739,,,,,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rushcliffe,,1992,76284,63326,14682,34448,12660,,,,,150,775,,,,,,,,611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rutland and Melton,,1992,80975,65451,13068,38603,12682,,,,,237,861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ryedale,,1992,87063,71149,9812,39888,21449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saffron Walden,,1992,74940,62313,8933,35272,17848,,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salford East,,1992,52616,33868,20327,9092,3836,,,,,150,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salisbury,,1992,75917,60654,5483,31546,22573,,233,,,93,609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scarborough,,1992,76364,58943,17600,29334,11133,,,,,,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sedgefield,,1992,61029,47029,28453,13594,4982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Selby,,1992,77180,61870,21559,31067,9244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sevenoaks,,1992,71092,57802,9470,33245,14091,,,,,210,786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheffield Attercliffe,,1992,69177,49680,28563,13083,7283,,,,,,751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheffield Brightside,,1992,63810,42284,29771,7090,5273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,
,Sheffield Central,,1992,59060,33144,22764,5470,3856,,212,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,
,Sheffield Hallam,,1992,76585,54248,10930,24693,17952,,,,,101,473,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,
,Sheffield Heeley,,1992,70953,50303,28005,13051,9247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheffield Hillsborough,,1992,77343,59703,27563,11640,20500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sherwood,,1992,73355,62705,29788,26878,6039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shipley,,1992,68827,56512,16081,28463,11288,,,,,,680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shoreham,,1992,71252,57836,6123,32670,18384,,,,459,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shrewsbury and Atcham,,1992,70636,58231,15157,26681,15716,,,,,,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shropshire North,,1992,82676,64225,15550,32443,16232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Skipton and Ripon,,1992,75629,61522,8978,35937,16607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Slough,,1992,74103,57815,25279,25793,4041,,134,,1426,153,,,,,,,,,,,,,,,,290,,,,699,,,,,,,,,,,,,,,,,,,,,
,Solihull,,1992,77332,63093,10544,38385,13239,,,,,,925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Somerton and Frome,,1992,71358,59047,6154,28052,23711,,,,388,,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Hams,,1992,83140,67355,8091,35951,22240,,,,,227,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Ribble,,1992,78171,64880,24855,30828,8928,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Shields,,1992,59392,41619,24876,11399,5344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southampton Itchen,,1992,72105,55474,24402,23851,7221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southampton Test,,1992,72932,56450,23919,24504,7391,,,,,101,535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southend East,,1992,56709,41851,11480,24591,5107,,,,673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southend West,,1992,64199,49948,6139,27319,15417,,,,495,127,451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southport,,1992,71444,55440,5637,26081,23018,,,,,159,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Southwark and Bermondsey,,1992,60564,37734,11614,3794,21459,,,,,113,,,,,,,,,,,,,,530,,168,,,,,,,,,,,,,,,,,,,,,56,,,,
,Spelthorne,,1992,69344,55726,12784,32627,9202,,,,,195,580,,,,,,,,,,,,,,,,,338,,,,,,,,,,,,,,,,,,,,,,,
,St. Albans,,1992,74189,61925,12016,32709,16305,,,,,161,734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St. Helens North,,1992,71262,55127,31930,15686,7224,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St. Helens South,,1992,67521,49801,30391,12182,6933,,,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,St. Ives,,1992,71154,57132,9144,24528,22883,,,,577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stafford,,1992,74668,61908,19976,30876,10702,,178,,,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staffordshire Mid,,1992,73435,62859,24991,31227,6402,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staffordshire Moorlands,,1992,75037,62778,21830,29240,9326,,,,,261,,,,,,,,2121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staffordshire South,,1992,82759,67483,17633,40266,9584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Staffordshire South East,,1992,70207,57603,21988,29180,5540,,,,,,,,,,,,,,,,,,,,,,,,,,,895,,,,,,,,,,,,,,,,,,,
,Stalybridge and Hyde,,1992,68192,50097,26207,17376,4740,,,,1199,238,,,,,,,,,,,,,,,,,,337,,,,,,,,,,,,,,,,,,,,,,,
,Stamford and Spalding,,1992,75154,61000,13096,35965,11939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stevenage,,1992,70229,58317,21764,26652,9668,,,,,233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stirling,,1992,58267,47950,18471,19174,3337,,,6558,,,342,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,
,Stockport,,1992,58096,47795,21096,19674,6539,,,,,50,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stockton North,,1992,69458,53366,27918,17444,7454,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,,,,,,,,,,,,,,,,,,
,Stockton South,,1992,75959,62877,25049,28418,9410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stoke-on-Trent Central,,1992,65528,44643,25897,12477,6073,,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stoke-on-Trent North,,1992,73141,53705,30464,15687,7167,,,,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stoke-on-Trent South,,1992,71317,53012,26380,19471,6870,,,,,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strangford,,1992,68901,44785,0,6782,,,,,,295,,19517,10606,7585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stratford-on-Avon,,1992,82818,67974,8932,40251,17359,,,,,130,729,,,,,,,,573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Strathkelvin and Bearsden,,1992,61210,50322,21267,18105,4585,,,6275,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Streatham,,1992,57212,40230,18925,16608,3858,,,,,97,443,,,,,,,,,,,,,,,,,,,,154,,,,,,,,,,,,,,145,,,,,,
,Stretford,,1992,54468,37453,22300,11163,3722,,,,,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stroud,,1992,82553,69753,18796,32201,16751,,,,,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suffolk Central,,1992,82735,66408,15615,32917,16886,,,,,190,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suffolk Coastal,,1992,79334,64758,13508,34680,15395,,,,,232,943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Suffolk South,,1992,84835,69320,16623,34773,17504,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sunderland North,,1992,72874,50188,30481,13477,5389,,,,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sunderland South,,1992,72608,50737,29399,14898,5844,,,,,,596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surbiton,,1992,42422,34972,6384,19033,9394,,,,,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surrey East,,1992,58014,47772,5075,29767,12111,,,,,,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surrey North West,,1992,83577,65477,8886,41772,13378,,,,,,1441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Surrey South West,,1992,72312,59836,3840,35008,20033,,98,,,147,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sussex Mid,,1992,80828,66970,6951,39524,18996,,246,,,89,772,,,,,,,,,,,,,,,,,392,,,,,,,,,,,,,,,,,,,,,,,
,Sutton and Cheam,,1992,60995,50221,4980,27710,16954,,,,,133,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sutton Coldfield,,1992,71444,56780,8490,37001,10965,,,,,324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swansea East,,1992,59187,44731,31179,7697,4248,1607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swansea West,,1992,59791,43850,23238,13760,4620,1668,,,,,564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swindon,,1992,90068,73370,28923,31749,11737,,78,,,,647,,,,,,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tatton,,1992,71085,57463,15798,31658,9597,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taunton,,1992,78037,64246,8151,29576,26240,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
