Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,British National,Christian Democratic,Communist of Britain,Conservative,Democratic Unionist,Fellowship,Green,Humanist,Independent,Labour,Liberal,Liberal Democrat,Loyal Conservative,Mebyon Kernow,Monster Raving Loony,National Democratic Resistance,National Front,Natural Law,People's Labour,Plaid Cymru,Progressive Unionist,Rainbow Dream Ticket,Referendum,Scottish National,Scottish Socialist Alliance,Sinn.Fein,Social Democratic and Labour,Socialist,Socialist Labour,The Speaker,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Workers',Workers' Revolutionary
,Hastings and Rye,,1997,70388,49069,,,,,14307,,,,,149,16867,1046,13717,,,,,,,,,,,2511,,,,,,,,,472,,,
,Havant,,1997,68420,48322,,,,,19204,,,,,442,15475,,10806,,,,,,,,,,,2395,,,,,,,,,,,,
,Hayes and Harlington,,1997,56829,41091,,,,,11167,,,,,135,25458,,3049,,,,,504,,,,,,778,,,,,,,,,,,,
,Hazel Grove,,1997,63694,49340,,,,,15069,,,,183,,5882,,26883,,,,,,,,,,,1055,,,,,,,,,268,,,
,Hemel Hempstead,,1997,71468,55092,,,,,21539,,,,,,25175,,6789,,,,,,262,,,,,1327,,,,,,,,,,,,
,Hemsworth,,1997,66964,45477,,,,,8096,,,,,,32088,,4033,,,,,,,,,,,1260,,,,,,,,,,,,
,Hendon,,1997,76195,50036,,,,,18528,,,,,,24683,,5427,,,,,,,,,,,978,,,,,,,,,267,,,153
,Henley,,1997,66424,51543,,,,,23908,,,514,,160,11700,,12741,,,,,,221,,,,,2299,,,,,,,,,,,,
,Hereford,,1997,69864,52553,,,,,18550,,,,,,6596,,25198,,,,,,,,,,,2209,,,,,,,,,,,,
,Hertford and Stortford,,1997,71759,54571,,,,,24027,,,,,126,17142,,9679,,,,,,,259,,,,2105,,,,,,,,,1233,,,
,Hertfordshire North East,,1997,67161,51995,,,,,21712,,,,,,18624,,9493,,,,,,,,,,,2166,,,,,,,,,,,,
,Hertfordshire South West,,1997,71671,55411,,,,,25462,,,,,,15441,,12381,,,,,,274,,,,,1853,,,,,,,,,,,,
,Hertsmere,,1997,68011,50348,,,,,22305,,,,,,19230,,6466,,,,,,191,,,,,1703,,,,,,,,,453,,,
,Hexham,,1997,58914,45671,,,,,17701,,,,,,17479,,7959,,,,,,,,,,,1362,,,,,,,,,1170,,,
,Heywood and Middleton,,1997,73898,50550,,,,,11637,,,,,,29179,750,7908,,,,,,,,,,,1076,,,,,,,,,,,,
,High Peak,,1997,72315,57153,,,,,20261,,,,,,29052,,6420,,,,,,,,,,,1420,,,,,,,,,,,,
,Hitchin and Harpenden,,1997,67219,52427,,,,,24038,,,,,,17367,,10515,,,,,,290,,,,,,,,,,217,,,,,,,
,Holborn and St. Pancras,,1997,63037,38005,,,,,6804,,,,,173,24707,,4758,,,,,,191,114,,,157,790,,,,,,,,,,,,171
