Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Alliance,British National,Christian Democratic,Communist of Britain,Conservative,Democratic Unionist,Fellowship,Green,Humanist,Independent,Labour,Liberal,Liberal Democrat,Loyal Conservative,Mebyon Kernow,Monster Raving Loony,National Democratic Resistance,National Front,Natural Law,People's Labour,Plaid Cymru,Progressive Unionist,Rainbow Dream Ticket,Referendum,Scottish National,Scottish Socialist Alliance,Sinn.Fein,Social Democratic and Labour,Socialist,Socialist Labour,The Speaker,Ulster Unionist,United Kingdom Independence,United Kingdom Unionist,Workers',Workers' Revolutionary
,Nuneaton,,1997,72032,53513,,,,,16540,,,,,390,30080,,4732,,,,,,,,,,,1533,,,,,,,,,238,,,
,Ochil,,1997,56572,43786,,,,,6383,,,,,104,19707,,2262,,,,,,65,,,,,210,15055,,,,,,,,,,,
,Ogmore,,1997,52078,38068,,,,,3716,,,,,,28163,,3510,,,,,,,,2679,,,,,,,,,,,,,,,
,Old Bexley and Sidcup,,1997,68044,51391,,415,,,21608,,,,,,18039,,8284,,,,,,99,,,,,2457,,,,,,,,,489,,,
,Oldham East and Saddleworth,,1997,73189,54101,,,,,10666,,,,,,22546,,19157,,,,,,146,,,,,1116,,,,,,470,,,,,,
,Oldham West and Royton,,1997,69203,45738,,,,,10693,,,,,,26894,,5434,,,,,,249,,,,,1157,,,,,,1311,,,,,,
,Orkney and Shetland,,1997,32291,20665,,,,,2527,,,,,60,3775,,10743,,,,,,116,,,,,820,2624,,,,,,,,,,,
,Orpington,,1997,78749,60162,,,,,24417,,,,,,10753,494,21465,,,,,,,191,,,,2316,,,,,,,,,526,,,
,Oxford East,,1997,69339,47877,,,,,10540,,,975,,68,27205,,7038,,,,,,108,318,,,,1391,,,,,,,,,234,,,
,Oxford West and Abingdon,,1997,79329,61196,,,,,19983,,,691,,48,12361,,26268,,,,,,91,238,,,,1258,,,,,,,,,258,,,
,Paisley North,,1997,49725,34135,,,,,3267,,,,,,20295,,2365,,,,,,,531,,,,196,7481,,,,,,,,,,,
,Paisley South,,1997,54040,37351,,,,,3237,,,,,,21482,,3500,,,,,,,,,,,254,8732,146,,,,,,,,,,
,Pendle,,1997,63049,47035,,,,,14235,,,,,,25059,,5460,,,,,,,,,,,2281,,,,,,,,,,,,
,Penrith and The Border,,1997,66496,48961,,,,,23300,,,,,,10576,,13067,,,,,,,,,,,2018,,,,,,,,,,,,
,Perth,,1997,60313,44551,,,,,13068,,,,,,11036,,3583,,,,,,,,,,,366,16209,,,,,,,,289,,,
,Peterborough,,1997,65926,48427,,,,,17042,,,,,,24365,,5170,,,,,,334,275,,,,924,,,,,,,,,317,,,
,Plymouth Devonport,,1997,74483,51963,,,,,12562,,,,,,31629,,5570,,,,238,,,,,,,1486,,,,,,,,,478,,,
,Plymouth Sutton,,1997,70666,47652,,,,,14441,,,,,396,23881,,6613,,,,,,168,,,,,1654,,,,,,,,,499,,,
,Pontefract and Castleford,,1997,62350,41396,,,,,5614,,,,,,31339,,3042,,,,,,,,,,,1401,,,,,,,,,,,,
,Pontypridd,,1997,64185,45855,,,,178,5910,,,,,,29290,,6161,,,,,,85,,2977,,,874,,,,,,380,,,,,,
,Poole,,1997,66078,46810,,,,,19726,,,,,,10100,,14428,,,,,,137,,,,,1932,,,,,,,,,487,,,
,Poplar and Canning Town,,1997,67172,39268,,2849,,,5892,,,,,,24807,,4072,,,,,,,,,,,1091,,,,,,557,,,,,,
,Portsmouth North,,1997,64539,45270,,,,,17016,,,,,72,21339,,4788,,,,,,,,,,,1757,,,,,,,,,298,,,
,Portsmouth South,,1997,80514,51695,,,,,16094,,,,,,13086,184,20421,,,,,,140,,,,,1629,,,,,,,,,141,,,
,Preseli Pembrokeshire,,1997,54088,42403,,,,,11741,,,401,,,20477,,5527,,,,,,,,2683,,,1574,,,,,,,,,,,,
,Preston,,1997,72933,48074,,,,,10540,,,,,,29220,,7045,,,,,,345,,,,,924,,,,,,,,,,,,
,Pudsey,,1997,70922,52731,,,,,19163,,,,,,25370,,7375,,,,,,,,,,,823,,,,,,,,,,,,
,Putney,,1997,60176,43995,,,,,17108,,,,,101,20084,,4739,,,,,,66,,,,,1518,,,,,,,,,233,,,
,Rayleigh,,1997,68737,51314,,,,,25516,,,,,,14832,829,10137,,,,,,,,,,,,,,,,,,,,,,,
,Reading East,,1997,71586,50220,,238,,,17666,,,,,,21461,,9307,,,,,,254,,,,,1042,,,,,,,,,252,,,
,Reading West,,1997,69073,48389,,320,,,18844,,,,,,21841,,6153,,,,,,,,,,,976,,,,,,,,,255,,,
,Redcar,,1997,68965,48962,,,,,11308,,,,,,32975,,4679,,,,,,,,,,,,,,,,,,,,,,,
,Redditch,,1997,60841,44748,,,,,16155,,,,,,22280,,4935,,,,,,227,,,,,1151,,,,,,,,,,,,
,Regent's Park and Kensington North,,1997,73752,47344,,,,,13710,,,,,,28367,,4041,,,,,,192,,,,167,867,,,,,,,,,,,,
,Reigate,,1997,64750,48174,,,,,21123,,,,,412,13382,,9615,,,,,,,,,,,3352,,,,,,,,,290,,,
,Renfrewshire West,,1997,52348,39786,,,,,7387,,,,,,18525,,3045,,,,,,,,,,,283,10546,,,,,,,,,,,
,Rhondda,,1997,57105,40807,,,,,1551,,,460,,,30381,,2307,,,,,,,,5450,,,658,,,,,,,,,,,,
,Ribble Valley,,1997,72664,57221,,,,,26702,,,,,,9013,,20062,,,,,,147,,,,,1297,,,,,,,,,,,,
,Richmond (Yorkshire),,1997,65058,47741,,,,,23326,,,,,,13275,,8773,,,,,,,,,,,2367,,,,,,,,,,,,
,Richmond Park,,1997,71572,56853,,,,,22442,,,,,,7172,,25393,,,204,,,102,,,,73,1467,,,,,,,,,,,,
,Rochdale,,1997,68529,48082,,653,,,4237,,,,,221,23758,,19213,,,,,,,,,,,,,,,,,,,,,,,
,Rochford and Southend East,,1997,72848,46535,,,,,22683,,,,,,18458,1007,4387,,,,,,,,,,,,,,,,,,,,,,,
,Romford,,1997,59611,42119,,522,,,17538,,,,,,18187,1100,3341,,,,,,,,,,,1431,,,,,,,,,,,,
,Romsey,,1997,67306,51821,,,,,23834,,,,,,9623,,15249,,,,,,,,,,,1291,,,,,,,,,1824,,,
,"Ross, Skye and Inverness West",,1997,55639,39955,,,,,4368,,,306,,,11453,,15472,,,,,,,,,,,535,7821,,,,,,,,,,,
,Rossendale and Darwen,,1997,69749,51208,,674,,,16521,,,,,,27470,,5435,,,,,,,,,,,1108,,,,,,,,,,,,
,Rother Valley,,1997,68622,46157,,,,,7699,,,,,,31184,,5342,,,,,,,,,,,1932,,,,,,,,,,,,
,Rotherham,,1997,59895,37650,,,,,5383,,,,,,26852,,3919,,,,,,,364,,,,1132,,,,,,,,,,,,
,Roxburgh and Berwickshire,,1997,47259,34931,,,,,8337,,,,,,5226,,16243,,,,,,42,,,,,922,3959,,,,,,,,202,,,
,Rugby and Kenilworth,,1997,79384,61205,,,,,25861,,,,,,26356,,8737,,,,,,251,,,,,,,,,,,,,,,,,
,Ruislip-Northwood,,1997,60393,44833,,,,,22526,,,,,,14732,,7279,,,,,,296,,,,,,,,,,,,,,,,,
,Runnymede and Weybridge,,1997,72177,51561,,,,,25051,,,,,,15176,,8397,,,,,,162,,,,,2150,,,,,,,,,625,,,
,Rushcliffe,,1997,78735,62112,,,,,27558,,,,,,22503,,8851,,,,,,115,,,,,2682,,,,,,,,,403,,,
,Rutland and Melton,,1997,70150,52630,,,,,24107,,,,,,15271,,10112,,,,,,,,,,,2317,,,,,,,,,823,,,
,Ryedale,,1997,65215,48783,,,,,21351,,,,,,8762,,16293,,,,,,,,,,,1460,,,,,,,,,917,,,
,Saffron Walden,,1997,74097,57050,,,,,25871,,,,,486,12275,,15298,,,,,,154,,,,,2308,,,,,,,,,658,,,
,Salford,,1997,58610,33122,,,,,5779,,,,,,22848,,3407,,,,,,162,,,,,926,,,,,,,,,,,,
,Salisbury,,1997,78973,58239,,,,,25012,,,623,,184,10242,,18736,,,,,,110,,,,,,,,,,,,,,3332,,,
,Scarborough and Whitby,,1997,75862,54321,,,,,19667,,,,,,24791,,7672,,,,,,,,,,,2191,,,,,,,,,,,,
,Scunthorpe,,1997,60393,41574,,,,,10934,,,,,,25107,,3497,,,,,,,,,,,1637,,,,,,399,,,,,,
,Sedgefield,,1997,64923,47116,,,,,8383,,,,,,33526,,3050,,,,,,,,,,,1683,,,,,,474,,,,,,
,Selby,,1997,75141,56316,,,,,22002,,,,,,25838,,6778,,,,,,,,,,,1162,,,,,,,,,536,,,
,Sevenoaks,,1997,66474,50149,,,,,22776,,,443,,244,12315,,12086,,,,,,147,,,,,2138,,,,,,,,,,,,
,Sheffield Attercliffe,,1997,68548,44318,,,,,7119,,,,,,28937,,6973,,,,,,,,,,,1289,,,,,,,,,,,,
,Sheffield Brightside,,1997,58930,33865,,,,,2850,,,,,,24901,,4947,,,,,,61,,,,,624,,,,,,482,,,,,,
,Sheffield Central,,1997,68667,36419,,,,,4341,,,954,,,23179,,6273,,,,,,,280,,,,863,,,,,466,,,,,,,63
,Sheffield Hallam,,1997,62834,45479,,,,,15074,,,,,125,6147,,23345,,,,,,,,,,,788,,,,,,,,,,,,
,Sheffield Heeley,,1997,66599,43266,,,,,6767,,,,,,26274,,9196,,,,,,,,,,,1029,,,,,,,,,,,,
,Sheffield Hillsborough,,1997,74642,53024,,,,,7707,,,,,,30150,,13699,,,,,,,,,,,1468,,,,,,,,,,,,
,Sherwood,,1997,74788,56533,,432,,,16259,,,,,,33071,,4889,,,,,,,,,,,1882,,,,,,,,,,,,
,Shipley,,1997,69281,52872,,,,,19966,,,,,,22962,,7984,,,,,,,,,,,1960,,,,,,,,,,,,
,Shrewsbury and Atcham,,1997,73542,55344,,,,,18814,,,,,257,20484,,13838,,,,,,,,,,,1346,,,,,,,,,477,,,
,Shropshire North,,1997,70852,51518,,,,,20730,,,,,,18535,,10489,,,,,,,,,,,1764,,,,,,,,,,,,
,Sittingbourne and Sheppey,,1997,63850,46162,,,,,16794,,,,,,18723,,8447,,,644,,,,,,,,1082,,,,,,,,,472,,,
,Skipton and Ripon,,1997,72042,54351,,,,,25294,,,,,,12171,,13674,,,,,,,,,,,3212,,,,,,,,,,,,
,Sleaford and North Hykeham,,1997,71486,53176,,,,,23358,,,,,578,18235,,8063,,,,,,,,,,,2942,,,,,,,,,,,,
,Slough,,1997,70283,47732,,,,,13958,,,,,277,27029,1835,3509,,,,,,,,,,,1124,,,,,,,,,,,,
,Solihull,,1997,78898,58906,,,,,26299,,,,,,14334,,14902,,,,,,,623,,,,2748,,,,,,,,,,,,
,Somerton and Frome,,1997,73988,57403,,,,,22554,,,,,,9385,,22684,,,,,,,,,,,2449,,,,,,,,,331,,,
,South Holland and the Deepings,,1997,69642,50129,,,,,24691,,,,,902,16700,,7836,,,,,,,,,,,,,,,,,,,,,,,
,South Ribble,,1997,71670,55231,,,,,20772,,,,,,25856,1127,5879,,,,,,122,,,,,1475,,,,,,,,,,,,
,South Shields,,1997,62261,38978,,,,,5681,,,,,374,27834,,3429,,,,,,,,,,,1660,,,,,,,,,,,,
,Southampton Itchen,,1997,76869,53838,,,,,15269,,,,,,29498,,6289,,,,,,110,99,,,,1660,,,,,113,628,,,172,,,
,Southampton Test,,1997,72983,52441,,,,,14712,,,,,81,28396,,7171,388,,,,,77,,,,,1397,,,,,,,,,219,,,
,Southend West,,1997,66493,46514,,,,,18029,,,,,,10600,,15414,,,,,,101,,,,,1734,,,,,,,,,636,,,
,Southport,,1997,70194,50600,,,,,18186,,,,,,6129,386,24346,,,,92,,93,,,,,1368,,,,,,,,,,,,
,Southwark North and Bermondsey,,1997,65598,40793,,713,,175,2835,,,,,,16444,157,19831,,,,95,,,,,,,543,,,,,,,,,,,,
,Sparkbrook and Small Heath,,1997,73130,41765,,,,,7315,,,959,,538,26841,,3889,,,,,,,,,,,737,,,,,,483,,,,,,
,Spelthorne,,1997,70562,51917,,,,,23306,,,,,,19833,,6821,,,,,,,,,,,1495,,,,,,,,,462,,,
,St. Albans,,1997,65560,50805,,,,,16879,,,,,,21338,,10692,,,,,,111,,,,166,1619,,,,,,,,,,,,
,St. Helens North,,1997,71380,49231,,,,,8536,,,,,,31953,,6270,,,,,,,,,,,1276,,,,,,833,,,363,,,
,St. Helens South,,1997,66526,44258,,,,,6628,,,,,,30367,,5919,,,,,,179,,,,,1165,,,,,,,,,,,,
,St. Ives,,1997,71680,53901,,,,,16796,,,,,178,8184,425,23966,,,,,,,,,,,3714,,,,,,,,,567,,,
,Stafford,,1997,67555,51772,,,,,20292,,,,,,24606,,5480,,,248,,,,,,,,1146,,,,,,,,,,,,
,Staffordshire Moorlands,,1997,66095,51117,,,,,16637,,,,,,26686,,6191,,,,,,,,,,,1603,,,,,,,,,,,,
,Staffordshire South,,1997,68896,51114,,,,,25568,,,,,,17747,,5797,,,,,,,,,,,2002,,,,,,,,,,,,
,Stalybridge and Hyde,,1997,65468,43081,,,,,10557,,,,,,25363,,5169,,,,,,,,,,,1992,,,,,,,,,,,,
,Stevenage,,1997,66889,51386,,,,,16858,,,,,,28440,,4588,,,,,,110,196,,,,1194,,,,,,,,,,,,
,Stirling,,1997,52491,42958,,,,,13971,,,,,24,20382,,2675,,,,,,,,,,,,5752,,,,,,,,154,,,
,Stockport,,1997,65232,46669,,,,,10426,,,,,206,29338,,4951,,,213,,,,,,,,1280,,,,,,255,,,,,,
,Stockton North,,1997,64380,44474,,,,,8369,,,,,,29726,,4816,,,,,,,,,,,1563,,,,,,,,,,,,
,Stockton South,,1997,68470,52116,,,,,17205,,,,,,28790,,4721,,,,,,,,,,,1400,,,,,,,,,,,,
,Stoke-on-Trent Central,,1997,64113,40245,,606,,,6738,,,,,,26662,359,4809,,,,,,,,,,,1071,,,,,,,,,,,,
,Stoke-on-Trent North,,1997,59030,38666,,,,,7798,,,,,,25190,,4141,,,,,,,,,,,1537,,,,,,,,,,,,
,Stoke-on-Trent South,,1997,69968,46236,,568,,,10342,,,,,,28645,580,4710,,,,288,,,,,,,1103,,,,,,,,,,,,
,Stone,,1997,68242,53074,,,,,24859,,,,,,21041,545,6392,,,,,,237,,,,,,,,,,,,,,,,,
,Stourbridge,,1997,64966,49701,,,,,17807,,,,,,23452,,7123,,,,,,,,,,,1319,,,,,,,,,,,,
,Strangford,,1997,69980,41619,5467,,,,1743,12579,,,,,0,,,,,,,,121,,,,,,,,503,2775,,,,18431,,,,
,Stratford-on-Avon,,1997,81434,62099,,,,,29967,,,,,306,12754,,15861,,,,,,307,284,,,,2064,,,,,,,,,556,,,
,Strathkelvin and Bearsden,,1997,62974,49712,,,,,9986,,,,,,26278,,4843,,,,,,155,,,,,339,8111,,,,,,,,,,,
,Streatham,,1997,74509,44885,,,,,9758,,,,,,28181,,6082,,,,,,,,,,,864,,,,,,,,,,,,
,Stretford and Urmston,,1997,69913,48695,,,,,14840,,,,,,28480,,3978,,,,,,,,,,,1397,,,,,,,,,,,,
,Stroud,,1997,77494,61347,,,,,23260,,,2415,,,26170,,9502,,,,,,,,,,,,,,,,,,,,,,,
,Suffolk Central and North Ipswich,,1997,70222,52823,,,,,22493,,,,,489,18955,,10886,,,,,,,,,,,,,,,,,,,,,,,
,Suffolk Coastal,,1997,74219,56256,,,,,21696,,,514,,,18442,,12036,,,,,,152,,,,,3416,,,,,,,,,,,,
,Suffolk South,,1997,67323,51975,,,,,19402,,,,,,15227,,14395,,,,,,211,,,,,2740,,,,,,,,,,,,
,Suffolk West,,1997,68638,49082,,,,,20081,,,,,,18214,,6892,,,,,,171,,,,,3724,,,,,,,,,,,,
,Sunderland North,,1997,64711,38213,,,,,6370,,,,,,26067,,3973,,,409,,,,,,,,1394,,,,,,,,,,,,
,Sunderland South,,1997,67937,39925,,,,,7536,,,,,,27174,,4606,,,,,,,,,,,,,,,,,,,,609,,,
,Surrey East,,1997,72852,54656,,,,,27389,,,,,,11573,,12296,,,,,,173,,,,,2656,,,,,,,,,569,,,
,Surrey Heath,,1997,73813,54724,,,,,28231,,,,,,11511,,11944,,,,,,,,,,,2385,,,,,,,,,653,,,
,Surrey South West,,1997,72350,56458,,,,,25165,,,,,,5333,,22471,,,,,,,258,,,,2830,,,,,,,,,401,,,
,Sussex Mid,,1997,68784,53463,,,,,23231,,,,,134,9969,,16377,,,,,,,,,,,3146,,,,,,,,,606,,,
,Sutton and Cheam,,1997,62785,47092,,,,,17822,,,,,,7280,,19919,,,,,,96,,,,,1784,,,,,,,,,191,,,
,Sutton Coldfield,,1997,71864,52401,,,,,27373,,,,,,12488,,10139,,,,,,,,,,,2401,,,,,,,,,,,,
,Swansea East,,1997,57373,38674,,,,,3582,,,,,,29151,,3440,,,,,,,,1308,,,904,,,,,289,,,,,,,
,Swansea West,,1997,58703,40469,,,,,8289,,,,,,22748,,5872,,,,,,,,2675,,,,,,,,,885,,,,,,
,Swindon North,,1997,65535,48270,,,,,16341,,,,,,24029,,6237,,,,,,130,,,,,1533,,,,,,,,,,,,
,Swindon South,,1997,70207,51162,,,,,18298,,,,,181,23943,,7371,,,,,,96,,,,,1273,,,,,,,,,,,,
,Tamworth,,1997,67205,49854,,,,,18312,,,,,,25808,177,4025,,,,,,,,,,,1163,,,,,,,,,369,,,
,Tatton,,1997,63822,48792,,,,,18277,,,,,29354,0,,,,,,,,123,,,,,,,,,,,,,,,,,
,Taunton,,1997,79783,61011,,318,,,23621,,,,,,8248,,26064,,,,,,,,,,,2760,,,,,,,,,,,,
,Tayside North,,1997,61398,45591,,,,,16287,,,,,,5141,,3716,,,,,,,,,,,,20447,,,,,,,,,,,
,Teignbridge,,1997,81667,62945,,,,,24679,,,817,,,11311,,24398,,,,,,,,,,139,,,,,,,,,,1601,,,
,Telford,,1997,56558,37112,,,,,10166,,,,,,21456,,4371,,,,,,,,,,,1119,,,,,,,,,,,,
,Tewkesbury,,1997,68208,52149,,,,,23859,,,,,,13665,,14625,,,,,,,,,,,,,,,,,,,,,,,
,Thanet North,,1997,71112,48955,,,,,21586,,,,,,18820,,5576,,,,,,,,,,,2535,,,,,,,,,438,,,
,Thanet South,,1997,62792,44988,,,,,17899,,,418,,,20777,,5263,,,,,,,,,,,,,,,,,,,,631,,,
,The Wrekin,,1997,59126,45268,,,,,18218,,,,,,21243,,5807,,,,,,,,,,,,,,,,,,,,,,,
,Thurrock,,1997,71600,47212,,,,,12640,,,,,,29896,,3843,,,,,,,,,,,,,,,,,,,,833,,,
,Tiverton,,1997,75744,59129,,,,,24438,,,485,,,7598,635,22785,,,,236,,,,,,,2952,,,,,,,,,,,,
,Tonbridge and Malling,,1997,64798,49229,,,,,23640,,,,,,13410,,9467,,,,,,205,,,,,2005,,,,,,,,,502,,,
,Tooting,,1997,66653,46105,,,,,12505,,,527,,161,27516,,4320,,,,,,70,,,,83,829,,,,,,,,,,,,
,Torbay,,1997,72258,53322,,,,,21082,,,,,,7923,1161,21094,,,,,,,,,,100,,,,,,,,,,1962,,,
,Torfaen,,1997,60343,43245,,,,,5327,,,519,,,29863,,5249,,,,,,,,1042,,,1245,,,,,,,,,,,,
,Totnes,,1997,70473,53769,,,,,19637,,,548,,2369,8796,,18760,,,,,,,,,,108,2552,,,,,,,,,999,,,
,Tottenham,,1997,66173,37704,,,,,5921,,,1059,,148,26121,,4064,,,,,,,210,,,,,,,,,,,,,,,,181
,Truro and St. Austell,,1997,76824,56747,,,,,15001,,,482,,240,8697,,27502,,450,,,,117,,,,,3682,,,,,,,,,576,,,
,Tunbridge Wells,,1997,65259,48354,,,,,21853,,,,,,9879,,14347,,,,,,153,,,,,1858,,,,,,,,,264,,,
,"Tweeddale, Ettrick and Lauderdale",,1997,50891,39001,,,,,8623,,,,,,10689,387,12178,,,,,,47,,,,,406,6671,,,,,,,,,,,
,Twickenham,,1997,73281,58144,,,,,21956,,,,,589,9065,,26237,,,,,,142,,,,155,,,,,,,,,,,,,
,Tyne Bridge,,1997,61058,34850,,,,,3861,,,,,,26767,,2785,,,,,,,,,,,919,,,,,518,,,,,,,
,Tynemouth,,1997,66341,51153,,,,,17045,,,,,,28318,,4509,,,,,,,,,,,819,,,,,,,,,462,,,
,Tyneside North,,1997,66449,45121,,,,,6167,,,,,,32810,,4762,,,,,,,,,,,1382,,,,,,,,,,,,
,Tyrone West,,1997,58168,46275,829,,,,,,,,,,0,,,,,,,,91,,,,,,,,14280,14842,,,,16003,,,230,
,Ulster Mid,,1997,58836,50669,460,,,,,18411,,,,,0,,,,,,,,61,,,,,,,,20294,11205,,,,,,,238,
,Upminster,,1997,57149,41319,,,,,16315,,,,,,19085,,3919,,,,,,,,,,,2000,,,,,,,,,,,,
,Upper Bann,,1997,70398,47787,3017,,,,433,5482,,,,,0,,,,,,,,108,,,,,,,,5773,11584,,,,20836,,,554,
,Uxbridge,,1997,57497,41545,,,,,18095,,,,,,17371,,4528,,,,,,,,,,,1153,,,,,398,,,,,,,
,Vale of Clwyd,,1997,52418,39132,,,,,11662,,,,,,20617,,3425,,,,,,,,2301,,,834,,,,,,,,,293,,,
,Vale of Glamorgan,,1997,67213,53914,,,,,18522,,,,,,29054,,4945,,,,,,,,1393,,,,,,,,,,,,,,,
,Vale of York,,1997,70077,53265,,,,,23815,,,,,197,14094,,12656,,,,,,,,,,,2503,,,,,,,,,,,,
,Vauxhall,,1997,70402,39066,,,,,5942,,,864,,,24920,,6260,,,,,,,,,,,,,,,,97,983,,,,,,
,Wakefield,,1997,73210,50486,,,,,14373,,,,,,28977,,5656,,,,,,,,,,,1480,,,,,,,,,,,,
,Wallasey,,1997,63714,46843,,,,,11190,,,,,,30264,,3899,,,,,,,,,,,1490,,,,,,,,,,,,
,Walsall North,,1997,67587,43302,,,,,11929,,,,,911,24517,,4050,,,,,465,,,,,,1430,,,,,,,,,,,,
,Walsall South,,1997,64221,43245,,,,,13712,,,,,,25024,,2698,,,,,,149,,,,,1662,,,,,,,,,,,,
,Walthamstow,,1997,63818,40055,,,,,8138,,,,,,25287,,5491,,,,,,,,,,,1139,,,,,,,,,,,,
,Wansbeck,,1997,62998,45172,,,,,6299,,,956,,,29569,,7202,,,,,,,,,,,1146,,,,,,,,,,,,
,Wansdyke,,1997,69032,54722,,,,,19318,,,,,,24117,,9205,,,225,,,92,,,,,1327,,,,,,,,,438,,,
,Wantage,,1997,71657,56049,,,,,22311,,,640,,,16222,,14862,,,,,,,,,,,1549,,,,,,,,,465,,,
,Warley,,1997,59758,38893,,,,,9362,,,,,,24813,,3777,,,,,,,,,,,941,,,,,,,,,,,,
,Warrington North,,1997,72694,51251,,,,,12300,,,,,,31827,,5308,,,,,,,,,,,1816,,,,,,,,,,,,
,Warrington South,,1997,72262,55082,,,,,17914,,,,,,28721,,7199,,,,,,166,,,,,1082,,,,,,,,,,,,
,Warwick and Leamington,,1997,79374,60091,,,,,23349,,,764,,306,26747,,7133,,,,,,125,,,,,1484,,,,,,,,,,,,
,Warwickshire North,,1997,72602,54239,,,,,16902,,,,,178,31669,,4040,,,,,,,,,,,917,,,,,,,,,533,,,
,Watford,,1997,74015,55236,,,,,19227,,,,,,25019,,9272,,,,,,234,,,,,1484,,,,,,,,,,,,
,Waveney,,1997,75266,56251,,,,,19393,,,,,,31486,,5054,,,,,,318,,,,,,,,,,,,,,,,,
,Wavertree,,1997,73063,45918,,,,,4944,,,,,,29592,391,9891,,,,,,,346,,,,576,,,,,,,,,,,,178
,Wealden,,1997,79519,59099,,,,,29417,,,,,,10185,,15213,,,,,,188,,,,,3527,,,,,,,,,569,,,
,Weaver Vale,,1997,66011,48301,,,,,13796,,,,,,27244,,5949,,,,,,,,,,,1312,,,,,,,,,,,,
,Wellingborough,,1997,74955,56289,,,,,24667,,,,,,24854,,5279,,,,,,297,,,,,,,,,,,,,,1192,,,
,Wells,,1997,72178,56380,,,,,22208,,,,,,10204,,21680,,,,,,92,,,,,2196,,,,,,,,,,,,
,Welwyn Hatfield,,1997,67395,52968,,,,,19341,,,,,1263,24936,,7161,,,,,,,267,,,,,,,,,,,,,,,,
,Wentworth,,1997,63951,41781,,,,,6266,,,,,,30225,,3867,,,,,,,,,,,1423,,,,,,,,,,,,
,West Bromwich East,,1997,63401,41487,,,,,10126,,,,,,23710,,6179,,,,,,,,,,,1472,,,,,,,,,,,,
,West Bromwich West,,1997,67496,36696,,,,,,,,,,8546,0,,,,,,4181,,,,,,,,,,,,,,23969,,,,,
,West Ham,,1997,57058,33661,,1198,,,5037,,,,,,24531,,2479,,,300,,,,,,,116,,,,,,,,,,,,,
,Westbury,,1997,74301,56731,,,,,23037,,,,,,11969,1956,16949,,,,,,140,,,,,1909,,,,,,,,,771,,,
,Western Isles,,1997,22983,16106,,,,,1071,,,,,,8955,,495,,,,,,,,,,,206,5379,,,,,,,,,,,
,Westmorland and Lonsdale,,1997,68389,50781,,,,,21463,,,,,,10452,,16942,,,,,,,,,,,1924,,,,,,,,,,,,
,Weston-super-Mare,,1997,72445,53377,,,,,20133,,,,,,9557,,21407,,,,,,,,,,,2280,,,,,,,,,,,,
,Wigan,,1997,64689,43819,,,,,7400,,,442,,,30043,,4390,,,,,,94,,,,,1450,,,,,,,,,,,,
,Wiltshire North,,1997,77237,58013,,,,,25390,,,,,,8261,,21915,,,,,,263,,,,,1774,,,,,,,,,410,,,
,Wimbledon,,1997,64070,48344,,,,,17684,,,474,,112,20674,,8014,,,,,,,346,,,47,993,,,,,,,,,,,,
,Winchester,,1997,78884,62054,,,,,26098,,,,,640,6528,,26100,,,307,,,,,,,,1598,,,,,,,,,476,,,
,Windsor,,1997,69132,50781,,,,,24476,,,,,93,9287,388,14559,,,,,,,,,,,1676,,,,,,,,,302,,,
,Wirral South,,1997,59372,48095,,,,,17495,,,,,,24499,,5018,,,,,,51,264,,,,768,,,,,,,,,,,,
,Wirral West,,1997,60908,46890,,,,,18297,,,,,,21035,,5945,,,,,,,,,,,1613,,,,,,,,,,,,
,Witney,,1997,73520,56401,,,,,24282,,,636,,,17254,,11202,,,,,,,,,,,2262,,,,,,,,,765,,,
,Woking,,1997,70053,50914,,,,,19553,,,,,3933,10695,,13875,,,,,,137,,,,,2209,,,,,,,,,512,,,
,Wokingham,,1997,66161,50108,,,,,25086,,,,,,8424,,15721,,,877,,,,,,,,,,,,,,,,,,,,
,Wolverhampton North East,,1997,61642,41403,,,,,11547,,,,,,24534,1560,2214,,,,356,,,,,,,1192,,,,,,,,,,,,
,Wolverhampton South East,,1997,54291,34830,,,,,7020,,,,,,22202,647,3292,,,,,,,,,,,980,,,,,,689,,,,,,
,Wolverhampton South West,,1997,67482,48921,,,,,19539,,,,,,24657,713,4012,,,,,,,,,,,,,,,,,,,,,,,
,Woodspring,,1997,69964,54954,,,,,24425,,,667,,101,11377,,16691,,,,,,52,,,,,1641,,,,,,,,,,,,
,Worcester,,1997,69234,51619,,,,,18423,,,,,,25848,,6462,,,,,,,,,,,,,,,,,,,,886,,,
,Worcestershire Mid,,1997,68381,50819,,,,,24092,,,,,,14680,,9458,,,,,,163,,,,,1780,,,,,,,,,646,,,
,Worcestershire West,,1997,64712,49344,,,,,22223,,,1006,,,7738,,18377,,,,,,,,,,,,,,,,,,,,,,,
,Workington,,1997,65766,49374,,,,,12061,,,,,217,31717,,3967,,,,,,,,,,,1412,,,,,,,,,,,,
,Worsley,,1997,68978,46781,,,,,11342,,,,,,29083,,6356,,,,,,,,,,,,,,,,,,,,,,,
,Worthing East and Shoreham,,1997,70771,51569,,,,,20864,,,,,,12335,,15766,,,,,,,,,,,1683,,,,,,,,,921,,,
,Worthing West,,1997,71329,51442,,,,,23733,,,,,,8347,,16020,,,,,,,,,,,2313,,,,,,,,,1029,,,
,Wrexham,,1997,50741,36422,,,,,8688,,,,,,20450,,4833,,,,,,86,,1170,,,1195,,,,,,,,,,,,
