Press Association Reference,Constituency Name,Region,Election Year,Electorate,Valid Votes,Labour,UK Independence Party,Conservative,Plaid Cymru,Liberal Democrat,Independent,Green,Socialist Labour Party,Trade Unionist and Socialist Coalition,Scottish National Party,National Front,Monster Raving Loony Party,Justice for Men & Boys,National Health Action Party,English Democrats,Yorkshire First,Vapers In Power,Patriotic Socialist Party,Democratic Unionist Party,Alliance,Sinn Fein,Social Democratic and Labour Party,Workers Party,Ulster Unionist Party,People Before Profit Alliance,Left Unity - Trade Unionists and Socialists,All People's Party,The Republican Socialist Party,Communities United Party,Cannabis is Safer than Alcohol Party,The Whig Party,The 30-50 Coalition,Red Flag - Anti-Corruption,"Christian Party, Proclaiming Christ's Lordship",Respect,Communist Party of Britain,Liberty GB,Social Democratic Party,The Northern Party,Independence from Europe,The Pilgrim Party,British National Party,Bournemouth Independent Alliance,Patria,British Democratic Party,Pirate Party,The Socialist Party of Great Britain,Independents for Bristol,Left Unity,Speaker,World Peace Through Song,Workers Revolutionary Party,Mebyon Kernow,Rebooting Democracy,Alter Change - Politics. Only Different.,Christian Peoples Alliance Party,The Above and Beyond Party,Liberal,The Peace Party,Class War,Christian Movement for Great Britain,Mainstream,The UK Progressive Democracy Party,Putting Croydon First!,British Independents,Humanity Party,Apni Party,Europeans Party,National Liberal Party,The North East Party,Traditional Unionist Voice,"Beer, Baccy and Scratchings",Scottish Socialist Party,Young People's Party,Linconshire Independents ,Socialist Equality Party,Socialist,Guildford Greenbelt Group,Animal Welfare Party,Communist League Election Campaign,Campaign,U(niversal) Party,Save Hartlepool Hospital,Hoi Polloi,Something New,Digital Democracy,Alliance for Green Socialism,New Independent Centralists,Lewisham People Before Profit,Democratic Reform Party,The Pluralist Party,People First - Gwerin Gyntaf,The Sustainable Population Party,Keep It Real Party,Consensus,Apolitical Democrat,Restore the Family For Children's Sake,Party for a United Thanet,The Party for Poole People Ltd.,Justice and Anti-Corruption Party,Independent Save Withybush Save Lives,The New Society of Worth,The Roman Party. Ave,Independent Political Alliance Party,Rochdale First Party,Islam Zinda Baad Platform,Residents for Uttlesford,We Are The Reality Party,Children of the Atom,The Democratic Party,Movement for Active Democracy,Manston Airport Independent Party,Al-Zebabist Nation of Ooog,Common Sense Party,Southport Party,Ubuntu Party,Population Party UK,Free Public Transport Party,The Principles of Politics Party,Magna Carta Party,The Eccentric Party of Great Britain,The Realists' Party,The Birthday Party,War Veteran's Pro-Traditional Family Party,Wessex Regionalist Party,Reduce VAT in Sport,Give Me Back Elmo,Land Party,Magna Carta Conservation Party Great Britain,The Evolution Party,Independent Community and Health Concern
52,Bethnal Green and Bow,,2015,82727,52924,32387,3219,8070,,2395,,4906,,,,,,,,,,,,,,,,,,,949,,,356,303,203,78,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Beverley and Holderness,,2015,80805,52677,13160,8794,25363,,2900,,1802,,,,,,,,,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Bexhill and Battle,,2015,78796,55218,7797,10170,30245,,4199,,2807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Bexleyheath and Crayford,,2015,64828,43685,11451,9182,20643,,1308,,950,,,,,,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Birkenhead,,2015,62410,39144,26468,3838,5816,,1396,,1626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Birmingham, Edgbaston",,2015,65591,41293,18518,4154,15812,,1184,91,1371,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"Birmingham, Erdington",,2015,65128,34684,15824,6040,10695,,965,,948,,212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"Birmingham, Hall Green",,2015,76330,47046,28147,2131,8329,,5459,,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"Birmingham, Hodge Hill",,2015,75302,41039,28069,4651,4707,,2624,,835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,"Birmingham, Ladywood",,2015,68128,35916,26444,1805,4576,,1374,,1501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,"Birmingham, Northfield",,2015,71428,42461,17673,7106,15164,,1349,,1169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Birmingham, Perry Barr",,2015,69943,41260,23697,5032,8869,,2001,,1330,,331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,"Birmingham, Selly Oak",,2015,75092,45294,21584,5755,13137,,2517,,2301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Birmingham, Yardley",,2015,72146,41151,17129,6637,5760,,10534,,698,,135,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Bishop Auckland,,2015,66070,39389,16307,7015,12799,,1723,,1545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Blackburn,,2015,73260,43999,24762,6280,12002,,955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Blackley and Broughton,,2015,71913,37112,22982,6108,5581,,874,,1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Blackpool North and Cleveleys,,2015,62468,39393,14168,5823,17508,,948,,889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Blackpool South,,2015,57411,32436,13548,5613,10963,,743,655,841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Blaenau Gwent,,2015,51335,31683,18380,5677,3419,2849,620,,738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Blaydon,,2015,67901,44936,22090,7863,7838,,5497,,1648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Blyth Valley,,2015,61247,38461,17813,8584,8346,,2265,,1453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Bognor Regis and Littlehampton,,2015,72995,47116,6508,10241,24185,,4240,,1942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Bolsover,,2015,71979,43998,22542,9228,10764,,1464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Bolton North East,,2015,67895,43161,18541,8117,14164,,1236,,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Bolton South East,,2015,69687,40743,20555,9627,8289,,1072,,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Bolton West,,2015,72719,48592,18943,7428,19744,,1947,321,,,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,Bootle,,2015,70145,45152,33619,4915,3639,,978,,1501,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Boston and Skegness,,2015,67064,43339,7142,14645,18981,,1015,170,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324,143,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Bosworth,,2015,79738,53582,9354,9338,22939,,11951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Bournemouth East,,2015,72275,44827,7448,7401,22060,,3752,,3263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Bournemouth West,,2015,72082,41773,7386,7745,20155,,3281,,3107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Bracknell,,2015,81271,53086,8956,8339,29606,,3983,,2202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Bradford East,,2015,66121,41406,19312,4103,4682,,12228,,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,Bradford South,,2015,63674,37600,16328,9057,9878,,1094,,1243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,Bradford West,,2015,63372,40290,19977,3140,6160,,1173,100,1085,,,,,,,,98,,,,,,,,,,,,,,,,,,,,8557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Braintree,,2015,73557,50283,9296,9461,27071,,2488,295,1564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Brecon and Radnorshire,,2015,54441,40074,5904,3338,16453,1767,11351,,1261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,Brent Central,,2015,77038,47032,29216,1850,9567,,3937,145,1912,,235,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,Brent North,,2015,82196,52235,28351,2024,17517,,2607,197,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Brentford and Isleworth,,2015,84602,57355,25096,3203,24631,,2305,,2120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Brentwood and Ongar,,2015,71918,51897,6492,8724,30534,,4577,,1397,,,,,,,,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Bridgend,,2015,59998,39453,14624,5911,12697,2784,1648,763,736,,118,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,Bridgwater and West Somerset,,2015,80491,54447,9589,10437,25020,,6765,,2636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Brigg and Goole,,2015,68488,43270,11770,6694,22946,,764,153,915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Brighton, Kemptown",,2015,67858,45306,17738,4446,18428,,1365,69,3187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Brighton, Pavilion",,2015,76557,54676,14904,2724,12448,,1525,116,22871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Bristol East,,2015,71193,46213,18148,7152,14168,,2689,,3827,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bristol North West,,2015,74743,51805,17823,4889,22767,,3214,,2952,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Bristol South,,2015,81496,50842,19505,8381,12377,,4416,,5861,,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Bristol West,,2015,91236,64218,22900,1940,9752,,12103,,17227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Broadland,,2015,73552,53089,9970,8881,26808,,5178,,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Bromley and Chislehurst,,2015,65477,44066,9779,6285,23343,,2836,,1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Bromsgrove,,2015,73337,52245,11604,8163,28133,,2616,,1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Broxbourne,,2015,72944,46024,8470,9074,25797,,1467,,1216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Broxtowe,,2015,71764,53440,19876,5674,24163,,2120,,1544,,,,,,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Buckingham,,2015,77425,53692,0,11675,,,,,7400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Burnley,,2015,64477,39746,14951,6864,5374,,11707,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Burton,,2015,75248,48974,13484,8658,24376,,1232,,1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Bury North,,2015,67580,45230,18592,5595,18970,,932,,1141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,Bury South,,2015,73883,47215,21272,6299,16350,,1690,,1434,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Bury St Edmunds,,2015,85982,59341,10514,8739,31815,,3581,,4692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,Caerphilly,,2015,63603,40283,17864,7791,6683,5895,935,,937,,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"Caithness, Sutherland and Easter Ross",,2015,47558,34186,3061,981,2326,,11987,,,,,15831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Calder Valley,,2015,77754,53541,18927,5950,23354,,2666,,2090,,,,,,,,,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Camberwell and Peckham,,2015,82746,51561,32614,2413,6790,,2580,,5187,,,,,,,466,,,,,,,,,,,,292,829,,,197,86,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Camborne and Redruth,,2015,66944,45868,11448,6776,18452,,5687,,2608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Cambridge,,2015,83384,51774,18646,2668,8117,,18047,,4109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Cannock Chase,,2015,74532,47099,15888,8224,20811,,1270,,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Canterbury,,2015,81341,53465,13120,7289,22918,,6227,,3746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Cardiff Central,,2015,57456,38646,15462,2499,5674,1925,10481,34,2461,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Cardiff North,,2015,67196,51151,19572,3953,21709,2301,1953,,1254,,,,,,,,,,,,,,,,,,,,,,,,,,,331,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Cardiff South and Penarth,,2015,76006,46667,19966,6423,12513,3443,2318,,1746,,258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Cardiff West,,2015,66762,43792,17803,4923,11014,6096,2069,,1704,,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Carlisle,,2015,65827,42587,16099,5277,18873,,1087,126,1125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Carmarthen East and Dinefwr,,2015,55750,39399,9541,4363,8336,15140,928,,1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Carmarthen West and South Pembrokeshire,,2015,57755,40350,11572,4698,17626,4201,963,,1290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
