Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,Con,LD,Lab,PC,Ver,Grn,SNP,SSP,SIP,UKIP,ED,MRLP,BNP,FW,Ind,Comm,DUP,UU,APNI,SDLP,SF,Vote,PVP,Ash,LCP,SSCP,SL,NF,YrP,OCV,WRP,BDMB,MC,OF,WP,Lib,Resp,PAP,CG,S Alt,XX,CLBH,PP,AGS,SBNB,LCA,Bean,CPA,MK,FF,DSA,JP,C28,TPC,Croy,NEP,C Grp,PART,WR,FIT,DDT,Elvis,Mast,GBB,SCP,EPP,SEA,Speaker,SU,IGV,PPS,OFD,EIP,PD,IP,RAL,TW,PHF,SMP,NP,BPP,PubP,SNHS,Glasnost,CAP,IPL,RP,ThP,FSP,NACV,SOS,SocU,IWCA,PIP,MCN,Civ,IZB,UKCI,StA,BMG,PenP,UKPF,IWNN,Wor,RRL,VCCA,Max,FrP,Soc,DLP,DHPW,TEPK,Alt,Tel,KHHC,Other
,Glenrothes [265],,2005,,,2651,4728,19395,,,,8731,705,,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dunbartonshire West [206],,2005,,,2679,5999,21600,,,,9047,1708,,354,,,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merthyr Tydfil & Rhymney [391],,2005,,,2680,4195,18129,2972,,,,,,699,,,,1030,,,,,,,,,,,,,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Cumbernauld, Kilsyth & Kirkintilloch East    [171]",,2005,,,2718,5817,20251,,,,8689,1141,,,,,,,,,,,,,,,,,,,,,,472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Coatbridge, Chryston & Bellshill    [152]",,2005,,,2775,4605,24725,,,,5206,1033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Caithness, Sutherland & Easter Ross [115]",,2005,,,2835,13957,5789,,,,3686,548,,,,,,,848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Camberwell & Peckham [117],,2005,,,2841,5450,18933,,,1172,,,,350,,,,,,,,,,,,,,,,,132,,,,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool Riverside [366],,2005,,,2843,7737,17951,,,1707,,,,455,,,,,,,,,,,,,,,,,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Gorton [385],,2005,,,2848,9672,15480,,,,,,,783,,,,,,,,,,,,,,,,,,,,,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tyne Bridge [578],,2005,,,2962,5751,16151,,,,,,,,,,1072,,,,,,,,,,,,,,,,,,,,,,,,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Yardley [64],,2005,,,2970,13648,10976,,,,,,,314,,,1523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dundee West [208],,2005,,,3062,5323,16468,,,,11089,994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberavon [1],,2005,,,3064,4140,18077,3545,768,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sheffield Central [502],,2005,,,3094,7895,14950,,,1808,,,,415,,,539,,,,,,,,,,,,,,,,,,,,,,,,1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Swansea East [555],,2005,,,3103,6208,17457,2129,,493,,,,674,,,770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Blaydon [71],,2005,,,3129,14785,20120,,,,,,,1019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paisley & Renfrewshire South [443],,2005,,,3188,6672,19904,,,,6653,789,,,,,,,166,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,381,,,,,,,,,,,,,,,,,,,,,,
,Brent East [89],,2005,,,3193,14764,12052,,,905,,,,,,,,,115,,,,,,,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glasgow North West [262],,2005,,,3262,6655,16748,,,1333,4676,1108,,,,,,,,,,,,,,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Airdrie & Shotts [5],,2005,,,3271,3792,19568,,,,5484,706,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Ross, Skye & Lochaber [477]",,2005,,,3275,19100,4851,,,1097,3119,412,,500,,,,,184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cardiff Central [125],,2005,,,3339,17991,12398,1271,,,,,,383,,,,,168,,,,,,,37,,,,,,,,,,,,,,,386,,,,,,,,,,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Islwyn [331],,2005,,,3358,3873,19687,3947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Easington [216],,2005,,,3400,4097,22733,,,,,,,,,,1042,,,,,,,,,,,,,,583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Meirionnydd Nant Conwy [389],,2005,,,3402,2192,3983,10597,,,,,,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Liverpool Garston [365],,2005,,,3424,11707,18900,,,,,,,780,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Motherwell & Wishaw [404],,2005,,,3440,4464,21327,,,,6105,1019,,,,,,,,,,,,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salford [493],,2005,,,3440,5062,13007,,,,,,,1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aberdeen North [2],,2005,,,3456,8762,15557,,,768,8168,691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Sparkbrook & Small Heath [63],,2005,,,3480,7727,13787,,,855,,,,1342,,,,,503,,,,,,,,,,,,,,,,,,,,,,10498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Caernarfon [113],,2005,,,3483,3508,7538,12747,,,,,,723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Ladywood [59],,2005,,,3515,10461,17262,,,,,,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Newcastle upon Tyne East & Wallsend [413],,2005,,,3532,9897,17462,,,,,,,,,,,,,205,,,,,,,,,,,,,,,,,,,,,,,,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midlothian [394],,2005,,,3537,9888,17153,,,,6400,726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Chesterfield [142],,2005,,,3605,20875,17830,,,,,,,997,814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,West Ham [613],,2005,,,3618,3364,15840,,365,894,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,6039,,,,,,,,,,,437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rutherglen & Hamilton West [485],,2005,,,3621,7942,24054,,,,6023,1164,,457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Blackley [383],,2005,,,3690,5160,17187,,,,,,,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Inverclyde [325],,2005,,,3692,6123,18318,,,,7059,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Islington North [329],,2005,,,3740,9402,16118,,,2234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Birmingham Hodge Hill [58],,2005,,,3768,8373,13822,,,,,,,680,,,1445,,,,,,,,,,,,,,,,,,,,,,,,,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lewisham Deptford [358],,2005,,,3773,5091,16902,,,3367,,,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barnsley Central [27],,2005,,,3813,4746,17478,,,,,,,,,,1403,,1175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hull North [319],,2005,,,3822,8013,15364,,389,858,,,,,,,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Leeds Central [346],,2005,,,3865,5660,17526,,,,,,,494,,,1201,,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ynys Mon [644],,2005,,,3915,2418,12278,11036,,,,,,367,,,,,5216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manchester Withington [386],,2005,,,3919,15872,15205,,,1595,,,,424,,,,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Hartlepool [292],,2005,,,4058,10773,18251,,,288,,,,1256,,162,,,275,,,,,,,,,,,,373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
